,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,13616,-8.519172524132234,-23.99168612066317,-32.510858644795405,"(-29.171938, -12.671037, -3.2488265, 0.40510902, 0.60443497, 0.627837, -0.2763437)",0.133,9.158,30.722,0.077,0,0.0,rank_1_index_1
2,8317,-11.821838675371133,-17.507727385630893,-29.329566061002023,"(-37.99793, -5.303472, -1.184946, -0.26647466, -0.6617415, -0.47954407, 0.5110058)",0.133,8.508,22.496,0.096,190,0.0,rank_2_index_10
3,17658,9.15933553328886,-10.219829975906062,-1.0604944426172018,"(-40.598328, -1.2801719, 0.074898124, 0.7243992, 0.0095948, -0.6164563, -0.30844048)",0.067,8.476,18.464,0.091,20,0.0,rank_3_index_4
4,10000,6.523459243870283,-9.963652845632833,-3.440193601762548,"(-33.106804, -3.314612, 7.487833, -0.14454399, -0.80016255, -0.502704, 0.2934889)",0.267,7.151,18.427,0.161,49,0.0,rank_4_index_6
5,17277,-2.594970409032843,-16.42338803241887,-19.018358441451717,"(-38.53084, -1.096065, -2.9636443, -0.72749585, -0.45981532, 0.24483839, 0.4465131)",0.067,12.18,23.576,0.066,288,0.0,rank_5_index_1
6,19667,-14.599053721266673,-17.538020801695616,-32.13707452296229,"(-33.4446, -2.4642313, 9.952835, 0.40003148, 0.6845028, 0.38983053, -0.46846882)",0.2,9.269,21.974,0.119,141,0.0,rank_6_index_2
7,9821,10.223357166921032,-12.015123596716528,-1.7917664297954945,"(-36.649826, -0.6477727, 4.18633, 0.7255786, 0.62541974, -0.033171583, -0.28510627)",0.133,12.636,23.364,0.088,199,0.0,rank_7_index_5
8,5629,7.006342641253566,-9.513122893550513,-2.506780252296947,"(-20.67115, -8.934354, 28.595583, -0.98251075, -0.06233674, -0.1502699, -0.090585396)",0.067,12.405,40.316,0.041,119,0.0,rank_8_index_4
9,19832,-2.897087480701183,-18.17148684514247,-21.068574325843656,"(-17.12567, -2.7446365, 32.547768, -0.7866781, 0.0019519306, -0.23790093, 0.5696815)",0.0,13.42,41.69,0.017,169,0.0,rank_9_index_2
10,15111,-38.90879390787804,-23.59381240496498,-62.50260631284301,"(-34.69253, -2.2045426, 9.521543, -0.13651627, 0.65725046, 0.6926358, -0.2638954)",0.4,4.112,14.934,0.254,24,0.125,rank_10_index_10
11,10282,-4.4749023383632505,-16.48145813365855,-20.9563604720218,"(-37.397327, -0.23782425, -2.469544, 0.716445, 0.52022797, -0.1789841, -0.42899203)",0.133,12.517,23.494,0.088,792,0.0,rank_11_index_1
12,5627,-31.143503422277927,-28.586251171820024,-59.72975459409796,"(-19.8629, -6.2286916, 29.544334, -0.9728367, -0.21870288, -0.013778476, -0.07461948)",0.067,13.427,40.212,0.041,386,0.0,rank_12_index_2
13,16061,9.56471179952432,-8.92341379765633,0.641298001867991,"(-41.198803, 1.7806913, -1.1798114, -0.4906998, -0.4065495, 0.49268642, 0.59261394)",0.0,11.819,20.438,0.054,30,0.0,rank_13_index_6
14,4119,9.455431165959848,-9.671500747663412,-0.2160695817035645,"(-38.597824, -2.6889246, 1.242763, -0.4132112, 0.6407993, 0.62788814, -0.15617068)",0.2,3.149,11.923,0.241,115,0.07142857142857142,rank_14_index_372
15,20790,-22.45806268856937,-20.75256821822049,-43.21063090678986,"(-29.839762, -7.1033225, 11.687312, 0.59736186, 0.67189825, 0.33135682, -0.28620684)",0.133,11.607,27.55,0.079,203,0.0,rank_15_index_7
16,22075,-4.5411803176305465,-16.945994283980824,-21.48717460161137,"(-36.39564, -1.5566437, 9.2134075, 0.57052124, -0.50208634, -0.5851158, 0.28293893)",0.267,3.315,12.807,0.247,158,0.125,rank_16_index_9
17,18070,1.0263159597270546,-8.968651085730064,-7.94233512600301,"(-31.370617, -8.418102, 10.116817, 0.09172367, 0.702853, 0.56615037, -0.42078292)",0.133,7.18,22.566,0.1,210,0.0,rank_17_index_6
18,12768,8.299431767412829,-12.480846998741072,-4.181415231328243,"(-35.802204, 7.9379582, 2.0796921, -0.5095275, -0.79467696, 0.18786664, 0.27124968)",0.133,11.618,20.882,0.097,634,0.0,rank_18_index_10
19,21489,-1.497673078646164,-12.00179917652553,-13.499472255171694,"(-36.271122, -7.931081, 7.4178796, 0.34804386, 0.6181632, 0.17049119, -0.68386596)",0.0,10.733,23.654,0.045,262,0.0,rank_19_index_10
20,7638,0.6836010940519799,-17.434109454198893,-16.750508360146913,"(-32.720036, -3.260243, 10.836049, 0.4652092, 0.70469856, 0.42383885, -0.32762936)",0.267,9.946,23.454,0.135,78,0.0,rank_20_index_7
21,2146,4.633478622146413,-5.546497227758914,-0.9130186056125016,"(-36.968216, -7.5347705, 11.340841, 0.55709183, 0.50349337, -0.12621842, -0.64823765)",0.0,12.556,24.838,0.04,114,0.0,rank_21_index_9
22,20969,-9.970946029405816,-21.2358960181178,-31.20684204752361,"(-34.56824, -2.9138753, 8.1033945, -0.45832095, -0.6710914, -0.3174517, 0.4886744)",0.067,9.869,22.241,0.072,213,0.0,rank_22_index_8
23,17165,-0.8901075627702859,-12.429952309685472,-13.320059872455758,"(-34.90482, -8.064875, 9.423633, 0.59934735, 0.5471933, 0.16173072, -0.56143165)",0.0,11.498,26.057,0.038,108,0.0,rank_23_index_2
24,2212,9.402289853930505,-10.381225473991554,-0.9789356200610512,"(-29.963543, -14.185411, 3.0260286, 0.390187, 0.6119637, 0.52277964, -0.44716454)",0.0,9.718,29.961,0.033,2,0.0,rank_24_index_8
25,14821,5.22990670043579,-5.423625822404787,-0.1937191219689973,"(-39.147545, 1.2305138, 2.392842, 0.6764017, 0.014482521, -0.6788895, -0.28527197)",0.0,8.752,16.604,0.079,37,0.0,rank_25_index_8
26,14623,8.558094048429801,-12.013118604179729,-3.455024555749928,"(-41.580917, -3.2954812, 1.0520573, 0.6318217, -0.32977048, -0.7004004, 0.038627822)",0.133,5.354,15.767,0.144,166,0.0,rank_26_index_10
