,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,10638,8.031492905837034,-7.091003980257005,0.9404889255800288,"(-37.265594, -5.9381337, 1.8948342, -0.46353468, 0.4497504, 0.7229023, -0.24550481)",0.167,4.076,17.816,0.157,10,0.0,rank_1_index_3
2,23603,7.989364544952636,-10.897000517686015,-2.907635972733379,"(-38.365505, -1.1689657, 0.10355559, -0.6927802, -0.42950216, 0.31534433, 0.48594385)",0.0,12.002,22.615,0.046,306,0.0,rank_2_index_3
3,1592,-7.586793995034746,-39.6627562950155,-47.24955029005024,"(-38.453293, -0.13476667, -4.822902, 0.7190305, 0.39262396, -0.2990824, -0.48927638)",0.167,11.538,24.051,0.098,711,0.0,rank_3_index_2
4,2435,-41.21319560806631,-32.938788478132615,-74.15198408619892,"(-34.195824, -4.10872, 5.35203, 0.27090877, 0.6494532, 0.422, -0.5716075)",0.083,8.611,21.854,0.081,92,0.0,rank_4_index_6
5,7726,-25.240039425706208,-29.617449613198048,-54.857489038904255,"(-39.450817, 2.0614452, -5.9974027, 0.643145, 0.53081995, -0.17987682, -0.52176523)",0.167,12.45,24.368,0.096,702,0.0,rank_5_index_3
6,8479,-27.38889425636142,-17.895203785577113,-45.284098041938535,"(-37.342148, -7.6882663, -0.82772636, 0.3387042, 0.630315, 0.5549265, -0.42431012)",0.333,8.623,25.661,0.154,232,0.0,rank_6_index_4
7,10001,-6.819036123107221,-18.603219321808357,-25.42225544491557,"(-32.04913, -3.7858822, 8.39132, -0.20180659, -0.70164526, -0.6102799, 0.30745167)",0.333,7.337,21.249,0.17,60,0.0,rank_7_index_8
8,20785,7.493018555440517,-10.309281541082896,-2.8162629856423798,"(-33.507935, -3.3322787, 8.414599, 0.46617544, 0.69068956, 0.4850313, -0.265279)",0.25,9.71,23.774,0.129,81,0.0,rank_8_index_2
9,13194,10.050632698683865,-9.168840475611235,0.8817922230726261,"(-32.993134, -4.288351, 4.054872, 0.034942728, 0.8028402, 0.5893181, -0.08325183)",0.25,6.409,18.422,0.159,32,0.0,rank_9_index_1190
10,21421,7.367874693158696,-8.882439739818675,-1.5145650466599792,"(-40.103535, 0.688198, -1.6521201, 0.44434613, 0.46592167, -0.40748236, -0.64763534)",0.0,12.138,21.378,0.051,44,0.0,rank_10_index_2
11,21153,10.004438394471633,-11.04407570428316,-1.0396373098115284,"(-37.94729, 1.3402653, -0.050899625, -0.6528425, -0.5553746, 0.21730313, 0.46704942)",0.0,12.679,22.327,0.047,357,0.0,rank_11_index_2
12,19829,1.8173428086734853,-15.767528621775384,-13.950185813101898,"(-17.11901, -2.5085602, 32.912758, -0.7842572, -0.0046125106, -0.23877437, 0.572631)",0.0,13.683,41.848,0.017,112,0.0,rank_12_index_2
13,23955,9.931833235932288,-9.278896780595634,0.6529364553366541,"(-37.65511, -9.057268, 4.99261, 0.62482125, 0.32678026, -0.5843926, -0.40161973)",0.0,12.191,25.134,0.039,-1,0.010775862068965518,rank_13_index_2159
14,3261,-6.028388131334776,-17.385933155044523,-23.414321286379295,"(-22.46251, -2.7322907, 32.758083, 0.9562012, 0.21172234, 0.12663478, -0.1575331)",0.083,14.659,40.173,0.046,539,0.0,rank_14_index_1
15,3387,8.792273819075048,-9.854180317072773,-1.0619064979977235,"(-17.92035, -8.516175, 32.68746, 0.905222, 0.22470373, 0.30311263, -0.195459)",0.0,15.32,44.381,0.015,361,0.0,rank_15_index_4
16,18069,8.558491331684863,-7.283343204558862,1.275148127126001,"(-33.95173, -6.4603076, 6.0983853, 0.2835822, 0.8281093, 0.36708203, -0.31474915)",0.167,9.377,22.606,0.105,127,0.0,rank_16_index_9
17,15238,6.7778328042375,-18.413833753285004,-11.636000949047505,"(-38.41206, -1.4247854, 9.655647, 0.41759902, 0.1258195, -0.8663502, -0.24334729)",0.0,12.178,20.134,0.055,516,0.0,rank_17_index_1374
18,2736,-45.07222106459542,-37.929971496545406,-83.00219256114082,"(-30.497396, -13.318655, 1.350615, -0.08133855, -0.42089224, -0.89222294, 0.14202796)",0.333,6.709,29.172,0.153,185,0.0,rank_18_index_9
19,8010,8.754915761472695,-8.727318441416957,0.0275973200557384,"(-35.908493, 6.851779, 1.8296607, -0.03587653, -0.9565142, -0.2413567, 0.15981378)",0.333,6.587,13.983,0.217,9,0.0,rank_19_index_722
