,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,16434,12.565762811991496,-1.769095482036617,10.79666732995488,"(-18.03723, 30.515799, -25.711185, -0.61939174, 0.6080966, -0.12042743, -0.48173612)",0.028,8.922,17.487,0.082,295,0.0,rank_1_index_9
2,11855,-39.92499751139663,-27.546900781052443,-67.47189829244907,"(-10.690305, 28.887669, -22.929909, -0.33346006, -0.08461793, -0.9055703, -0.2481665)",0.056,12.403,24.014,0.06,137,0.0,rank_2_index_9
3,21351,11.729199007805644,-1.6465760841560897,10.082622923649554,"(-16.252337, 33.212017, -27.293816, -0.5905011, 0.5739582, -0.22268745, -0.52181476)",0.028,9.56,18.751,0.074,337,0.0,rank_3_index_4
4,2592,12.729904773007064,-1.501384565708527,11.228520207298535,"(-16.912298, 32.61459, -4.026441, 0.7859288, -0.15784289, -0.25817564, 0.53920954)",0.028,8.324,29.167,0.046,4,0.0,rank_4_index_234
5,12608,1.6722418756789423,-20.576393756224004,-18.90415188054506,"(-12.312662, 34.117188, -8.992957, 0.8870176, -0.27008024, -0.13167058, 0.3505986)",0.083,7.54,25.358,0.074,20,0.0,rank_5_index_5
6,8583,13.246531164554511,-1.292570686600703,11.953960477953808,"(-11.012047, 37.636787, -10.0774555, -0.9345161, 0.21769977, 0.16645563, -0.22711046)",0.028,8.153,25.84,0.053,229,0.0,rank_6_index_3
7,22170,-0.6219317668909987,-12.093533846743476,-12.715465613634477,"(-9.5031185, 33.460827, -11.473379, 0.8721686, -0.325676, -0.18780668, 0.3130267)",0.194,6.33,22.444,0.124,155,0.0,rank_7_index_1
8,11566,11.687765252058568,-1.1606018790941093,10.52716337296446,"(-4.8521, 40.758137, -11.246346, 0.7993726, -0.51466227, -0.25182846, 0.18085538)",0.194,4.992,22.328,0.135,266,0.0,rank_8_index_8
9,4968,11.730133884635976,-1.272756519934381,10.457377364701596,"(-8.916743, 35.45743, -16.961496, 0.42337787, 0.29540032, 0.8540557, -0.06386483)",0.0,12.989,24.553,0.04,403,0.0,rank_9_index_6
10,7494,13.1196272321235,-2.7459734499434507,10.37365378218005,"(-16.877274, 24.917662, -27.89726, -0.57390267, 0.60642266, -0.0033537662, -0.55034184)",0.056,8.106,16.891,0.097,366,0.0,rank_10_index_676
11,13416,11.851035635716851,-1.5733462701695655,10.277689365547287,"(-21.773394, 31.12748, -3.884225, 0.75765085, 0.022598319, 0.0956788, 0.6452131)",0.0,13.024,34.45,0.023,172,0.0,rank_11_index_5
12,19756,-5.926480816888635,-35.56701941555603,-41.49350023244467,"(-4.881963, 34.79695, -18.321398, 0.5463912, -0.36685202, -0.74751437, 0.089991614)",0.167,5.406,14.426,0.165,45,0.0,rank_12_index_5
13,10154,7.625690384718218,-3.2830043994617144,4.342685985256503,"(-5.22167, 36.57357, -14.59161, 0.8032099, -0.33093596, -0.43089828, 0.24425802)",0.167,5.57,19.172,0.133,101,0.0,rank_13_index_4
14,20077,9.875709594654545,-14.210485724240336,-4.334776129585791,"(-17.584755, 33.923428, -18.102106, 0.5848073, -0.5860438, 0.3295303, 0.4538314)",0.0,10.701,21.509,0.051,164,0.0,rank_14_index_4
15,1726,12.543150790223612,-1.462044520846174,11.08110626937744,"(-13.068858, 32.557156, -18.726858, 0.5296616, -0.44817415, -0.6203504, 0.36573744)",0.139,3.331,10.284,0.238,31,0.06666666666666667,rank_15_index_8
16,12577,12.318422048679956,-1.7599337723807125,10.558488276299244,"(-9.759771, 29.081797, -24.578922, 0.3918564, -0.23246156, -0.6741946, 0.5812675)",0.083,6.554,11.525,0.162,46,0.0,rank_16_index_7
17,12594,12.455026552638472,-1.750103182728333,10.70492336991014,"(-20.516836, 29.053848, -21.590357, 0.61741674, -0.60042286, 0.15619688, 0.48362327)",0.0,9.795,19.799,0.06,793,0.0,rank_17_index_2
18,15553,12.125309585785605,-12.853236983716004,-0.7279273979304008,"(-13.624065, 16.930874, -40.551056, -0.1152854, 0.32233828, -0.9029986, 0.25961658)",0.0,11.871,28.388,0.033,794,0.0,rank_18_index_7
19,22876,-6.921704675135552,-6.238243990879356,-13.159948666014907,"(-4.866462, 36.29655, -13.912781, 0.70927185, 0.08634985, 0.69880813, 0.03382927)",0.0,13.528,29.261,0.03,206,0.0,rank_19_index_9
20,20902,11.76787380425912,-3.587818549837758,8.180055254421363,"(-15.967379, 30.73707, -15.160711, 0.6448498, -0.114753045, -0.0074213836, 0.75560933)",0.056,9.721,24.605,0.062,69,0.0,rank_20_index_9
21,7957,10.304725648030155,-1.6289566287204646,8.675769019309692,"(-21.011341, 36.04431, -1.9752746, 0.635743, 0.06854208, 0.5557316, 0.5313147)",0.0,17.126,37.409,0.019,161,0.0,rank_21_index_8
22,16865,10.036522352602796,-2.0815590210398494,7.954963331562945,"(-16.895561, 38.92688, -9.391574, 0.4708024, -0.33686334, -0.79265624, -0.19121821)",0.0,8.597,24.481,0.046,151,0.0,rank_22_index_6
23,21175,11.975498276680506,-1.9000708457978508,10.075427430882655,"(-16.827728, 31.104753, -5.3028665, -0.6998126, 0.16186622, 0.087209515, -0.69025815)",0.056,9.307,29.396,0.053,162,0.0,rank_23_index_6
24,19882,-16.76715609751156,-31.766749174746664,-48.533905272258224,"(-14.745128, 28.159662, -26.399935, 0.28365645, -0.06731429, -0.8464675, 0.44553402)",0.0,7.642,14.457,0.098,55,0.0,rank_24_index_9
25,2087,11.24186430670467,-1.5250201116226236,9.716844195082048,"(-8.667264, 31.669529, -21.119146, 0.6141553, -0.31355065, -0.6052553, 0.39769995)",0.139,5.175,11.38,0.192,50,0.0,rank_25_index_4
26,18246,12.0261434727454,-4.198995472148722,7.827148000596678,"(-9.3648205, 36.30017, -8.560098, 0.85210526, -0.44929454, -0.22856767, 0.14074081)",0.194,5.591,23.415,0.126,168,0.0,rank_26_index_8
27,21386,11.2950578678257,-2.5426739407894594,8.752383927036242,"(-22.75947, 31.293486, -1.6543729, 0.84619087, -0.10426733, -0.073226675, 0.5174237)",0.0,11.509,34.49,0.025,82,0.0,rank_27_index_6
28,8169,2.966871050273567,-5.478498147246337,-2.51162709697277,"(-9.713154, 32.16647, -19.147444, -0.40208554, 0.6890745, 0.59875065, -0.07071986)",0.139,4.021,9.351,0.238,37,0.04,rank_28_index_737
29,17368,11.09713194669217,-1.1609773737157116,9.936154572976458,"(-30.852076, 30.182665, 1.8935838, 0.53751135, -0.11644746, 0.14004499, 0.8233523)",0.0,15.328,41.298,0.017,292,0.0,rank_29_index_8
30,10458,11.555776853466618,-1.517529282646349,10.03824757082027,"(-8.588114, 31.266512, -21.422728, -0.45646092, 0.34427118, 0.6884744, -0.4462329)",0.111,5.189,9.801,0.206,93,0.0,rank_30_index_8
31,4723,-12.059573177256446,-48.3091536334828,-60.36872681073924,"(-19.255232, 31.887438, -17.40593, 0.05339035, 0.17775948, 0.8863552, 0.42417637)",0.0,13.22,25.665,0.037,1329,0.0,rank_31_index_5
32,17756,7.814634649345184,-3.8922298787710456,3.922404770574138,"(-14.435906, 36.502777, -10.972717, -0.48286363, 0.381759, 0.7652677, 0.18832976)",0.056,7.46,21.822,0.075,142,0.0,rank_32_index_6
33,12822,1.4326507140095757,-27.882422430589624,-26.44977171658005,"(-3.678434, 36.090515, -14.088923, 0.6843225, -0.58483994, 0.040079, 0.43365753)",0.417,6.663,20.824,0.203,196,0.0,rank_33_index_8
34,15422,12.597814857915512,-1.331766124397168,11.266048733518344,"(-10.613656, 31.009174, -15.918191, -0.23411798, 0.3001785, 0.85475296, -0.3528159)",0.0,7.308,14.916,0.095,185,0.0,rank_34_index_9
35,15621,-2.7260157391663515,-10.469886156549611,-13.195901895715965,"(-21.57803, 36.42577, -5.8006306, 0.4747604, -0.13070188, 0.76066375, 0.42297798)",0.0,16.894,34.146,0.022,135,0.0,rank_35_index_9
36,5477,11.555196714110684,-1.965987706189967,9.589209007920717,"(-15.837684, 32.25287, -16.086098, 0.5980116, -0.14281626, -0.6589382, 0.43334293)",0.0,6.527,17.165,0.082,116,0.0,rank_36_index_6
37,19929,12.035160557859164,-1.4933369591684738,10.541823598690687,"(-19.154356, 36.10138, -5.1434226, -0.81938374, 0.2819746, 0.26995954, -0.4197888)",0.0,8.135,28.142,0.039,79,0.0,rank_37_index_1797
38,20491,4.572935018986729,-13.93714763795834,-9.36421261897161,"(-15.363577, 29.9091, -28.753607, 0.0073359422, 0.16087648, 0.98555243, 0.05245442)",0.028,9.782,19.658,0.069,653,0.0,rank_38_index_6
39,22336,11.47024400295001,-1.8196158935320133,9.650628109417996,"(-0.4304132, 34.651695, -17.679935, -0.50805986, 0.43749556, 0.71658736, -0.19229004)",0.0,6.171,15.443,0.096,239,0.0,rank_39_index_1
40,9266,11.056119979299204,-1.5624926847643117,9.493627294534893,"(0.82907116, 35.5211, -23.687607, -0.28174213, 0.64901763, 0.66823626, -0.22990835)",0.0,5.972,13.487,0.115,264,0.0,rank_40_index_2
41,18241,11.901493493963963,-1.3966985256202855,10.50479496834368,"(-9.885828, 38.975666, -12.383228, 0.91931474, -0.34342867, -0.16057004, 0.10551987)",0.0,7.495,23.707,0.051,186,0.0,rank_41_index_3
42,11140,-10.92941245323614,-24.599992859825942,-35.529405313062085,"(-10.26112, 30.376455, -19.54412, -0.4822683, 0.27239534, 0.78825694, -0.26808417)",0.194,5.084,12.151,0.201,29,0.0,rank_42_index_2
43,13584,11.530035535309484,-2.843427153898423,8.68660838141106,"(-24.471985, 33.67134, -4.3614964, 0.6771799, 0.1529249, 0.40499642, 0.5949953)",0.0,16.965,37.009,0.019,434,0.0,rank_43_index_6
44,4659,11.70008053782563,-2.404057632656448,9.29602290516918,"(-11.118783, 34.657627, -21.530434, 0.608074, -0.374084, -0.61174154, 0.34070453)",0.139,4.727,10.465,0.209,121,0.0,rank_44_index_7
45,5133,-0.0052188950249139,-22.52115328524428,-22.526372180269195,"(-17.55142, 18.057259, -34.14037, 0.7260239, -0.59532046, 0.317225, 0.1336087)",0.0,14.226,25.32,0.037,1325,0.0,rank_45_index_6
46,12679,10.78059797772242,-1.4403175222084474,9.340280455513971,"(-22.697777, 35.00787, 0.8913967, -0.58030075, -0.083703004, -0.23882961, -0.77408355)",0.0,15.392,38.869,0.018,278,0.0,rank_46_index_1144
47,14731,7.836456834599359,-2.762715612936587,5.073741221662773,"(-4.7077794, 36.832413, -16.965742, 0.63811594, -0.6329875, -0.42772403, 0.09584903)",0.472,2.666,14.175,0.326,111,0.2,rank_47_index_10
48,2891,-10.959908874539025,-13.988158411000205,-24.948067285539228,"(-16.430466, 20.192516, -33.423786, 0.25477007, -0.5900377, 0.5900914, 0.48861018)",0.056,12.574,25.633,0.056,1102,0.0,rank_48_index_0
49,16210,11.440198057625462,-1.304216898836179,10.135981158789283,"(-19.62782, 39.11475, -8.510634, 0.729846, -0.20615904, 0.33114117, 0.56139904)",0.0,13.462,31.614,0.027,473,0.0,rank_49_index_8
50,11677,8.013616794271144,-7.631826705428467,0.3817900888426768,"(-14.874071, 33.962315, -22.708551, 0.05178634, 0.33075136, 0.9256541, 0.17631292)",0.0,10.615,20.541,0.055,457,0.0,rank_50_index_8
51,1975,11.650913376606049,-1.0997780133257908,10.551135363280258,"(1.2424695, 42.137905, -9.483097, 0.9002394, -0.41491106, -0.11533832, -0.06414757)",0.083,7.079,29.073,0.068,97,0.0,rank_51_index_2
52,1159,-14.628960512239908,-37.41457585011023,-52.04353636235014,"(-16.905163, 13.556216, -32.115192, 0.2492567, -0.61693966, -0.123477004, 0.7362133)",0.028,7.877,24.38,0.057,141,0.0,rank_52_index_3
53,2079,12.281004025030354,-1.283736968880547,10.997267056149807,"(-9.65492, 32.09702, -20.566774, 0.29809088, -0.6661458, -0.62252676, 0.28258124)",0.056,3.943,7.245,0.254,102,0.14285714285714285,rank_53_index_7
54,13494,5.997721559191589,-26.43812819997828,-20.44040664078669,"(-15.98531, 29.951603, -13.233004, 0.44802487, -0.33466303, -0.18269095, 0.8086399)",0.139,7.414,21.599,0.104,170,0.0,rank_54_index_4
55,15590,12.210978748140024,-3.415119834106635,8.79585891403339,"(4.094438, 35.941753, -20.822365, -0.4404267, 0.5178093, 0.7202681, -0.13824508)",0.0,7.121,17.524,0.078,355,0.0,rank_55_index_0
56,19754,8.771272293197397,-5.410001703492927,3.361270589704469,"(-7.3341947, 33.502007, -18.294203, 0.522776, -0.42094746, -0.7100093, 0.21306191)",0.167,4.33,11.651,0.207,84,0.0,rank_56_index_3
57,2460,4.382376668731924,-2.047009718058467,2.335366950673457,"(2.768467, 37.999863, -17.088737, 0.34628826, 0.20939144, 0.89164394, -0.20300438)",0.0,12.646,26.821,0.035,209,0.0,rank_57_index_222
58,7527,10.941938987446974,-2.652729510112419,8.289209477334555,"(-2.5445719, 38.003193, -10.876223, -0.85510457, 0.29324085, 0.30207837, -0.30258018)",0.056,6.666,24.286,0.071,267,0.0,rank_58_index_679
59,1825,11.787274931020413,-1.5277502336374909,10.259524697382922,"(-17.032085, 32.254234, 2.0656037, 0.81731915, 0.09658333, -0.42020658, 0.38221404)",0.0,10.419,35.028,0.025,65,0.0,rank_59_index_6
60,7191,12.296477540262805,-1.6909463198534436,10.60553122040936,"(-20.933012, 35.356907, -4.387419, 0.8454556, -0.20667243, -0.21403362, 0.44348732)",0.0,9.433,30.342,0.032,21,0.0,rank_60_index_6
61,19252,5.679482654558916,-4.755571645909347,0.9239110086495684,"(-2.8805456, 38.945805, -9.397606, 0.8221854, -0.4069289, 0.24260347, 0.3155371)",0.028,8.955,28.439,0.046,379,0.0,rank_61_index_10
62,6585,10.663232524234097,-2.394880697757788,8.268351826476309,"(0.833774, 37.469646, -22.039793, 0.5172389, -0.61061686, -0.58610475, 0.12685534)",0.167,4.853,14.42,0.171,215,0.0,rank_62_index_1
63,10975,11.838995512500391,-3.1157340465947385,8.723261465905653,"(-7.0396967, 37.354126, -16.105751, 0.53090626, -0.4130544, -0.73448056, -0.08979444)",0.167,5.487,17.216,0.144,167,0.0,rank_63_index_3
64,9695,7.271248346357572,-13.260204899195006,-5.988956552837434,"(-15.890719, 26.638262, -27.073362, -0.5677723, 0.51339144, 0.009491646, -0.643408)",0.028,8.031,17.286,0.085,468,0.0,rank_64_index_875
65,22456,12.296319016800156,-2.075032079713095,10.22128693708706,"(-14.792505, 26.90791, -30.116484, 0.077870555, 0.25401604, 0.9500457, -0.16378407)",0.028,8.754,18.847,0.075,694,0.0,rank_65_index_2025
66,12079,7.744704439730741,-3.903807367913665,3.840897071817076,"(-6.5402746, 35.237743, -16.175232, 0.76283795, -0.4445137, -0.14253207, 0.44740418)",0.361,5.89,18.648,0.198,194,0.0,rank_66_index_8
67,12973,11.954225498431272,-1.4313473682962616,10.52287813013501,"(-13.75459, 40.15112, -4.836669, 0.48564774, -0.36248544, -0.77546495, -0.17721383)",0.0,8.978,27.264,0.039,233,0.0,rank_67_index_4
68,3364,10.039484579204457,-12.721911281440796,-2.682426702236341,"(-2.3667612, 9.584753, -39.744995, -0.35580868, 0.51041937, -0.572008, 0.5344897)",0.0,12.611,33.687,0.025,1560,0.0,rank_68_index_8
69,20962,10.670631693150998,-1.4091025840648506,9.261529109086148,"(-24.197475, 33.4769, 4.796773, 0.59448016, 0.16066216, 0.23508742, 0.75200725)",0.0,16.727,42.27,0.016,232,0.0,rank_69_index_2
