,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,16031,9.250670205126648,-5.1080116375693,4.142658567557348,"(-16.72051, 35.555546, -16.094946, -0.05769216, -0.08992682, -0.9312446, -0.34837955)",0.0,12.53,25.655,0.038,227,0.0,rank_1_index_2
2,14658,12.47703104308668,-1.421934040375621,11.055097002711058,"(-18.942545, 30.874779, -30.947432, 0.513277, -0.7897015, 0.3353748, -0.021023406)",0.0,12.123,18.576,0.063,811,0.0,rank_2_index_3
3,14838,12.118625623435374,-1.1981602109479113,10.920465412487465,"(-9.377463, 39.08013, -17.720787, 0.3267547, -0.11420336, 0.91507983, 0.20692506)",0.0,13.145,26.205,0.036,526,0.0,rank_3_index_5
4,14334,6.730094392004224,-3.862250789040439,2.8678436029637853,"(-7.3300915, 33.68732, -20.312868, 0.3141166, 0.009434574, 0.9158492, 0.2499241)",0.024,12.17,24.868,0.048,503,0.0,rank_4_index_1
5,6905,9.535801198948583,-5.087932741075604,4.447868457872981,"(-10.842273, 36.520725, -15.0454445, -0.112264335, 0.082193546, 0.9212779, 0.36316404)",0.049,10.974,24.686,0.058,72,0.0,rank_5_index_0
6,9651,11.854082057934985,-0.6027930374347044,11.25128902050028,"(-18.257719, 35.4864, -18.686476, 0.6815316, -0.6089039, 0.19825535, 0.35418302)",0.0,9.798,20.214,0.058,34,0.0,rank_6_index_8
7,13260,12.670667440765666,-1.2528215324743055,11.41784590829136,"(-8.638686, 38.470085, -19.286068, 0.2229691, -0.3703954, 0.8881546, 0.15579955)",0.0,12.633,24.134,0.041,522,0.0,rank_7_index_6
8,18806,8.469170273956953,-2.17987179288237,6.289298481074583,"(-8.88141, 36.077682, -15.758708, -0.19878283, -0.12587081, -0.88508993, -0.40156925)",0.024,12.526,26.572,0.044,174,0.0,rank_8_index_1
9,8679,11.600285376906363,-1.466353385810704,10.13393199109566,"(-20.410994, 31.82161, -25.621487, 0.54100794, -0.6745338, 0.3752238, 0.33394873)",0.0,11.382,20.002,0.057,528,0.0,rank_9_index_783
10,19874,-10.282694970115212,-14.339887575106752,-24.622582545221967,"(-15.26623, 26.194675, -30.433405, -0.16908963, 0.19752282, 0.9654368, -0.018034985)",0.122,8.279,18.022,0.112,392,0.0,rank_10_index_3
11,15434,5.646250725209248,-15.551757073187192,-9.905506347977944,"(-15.484237, 35.49809, -17.060757, 0.002171232, -0.2249642, -0.87972635, -0.41888902)",0.049,11.986,24.866,0.056,693,0.0,rank_11_index_3
12,11674,6.425644170433136,-1.8652337892285635,4.560410381204573,"(-18.350943, 36.94708, -19.324596, -0.55621725, -0.15976635, 0.8077116, 0.11269037)",0.0,10.969,22.628,0.047,356,0.0,rank_12_index_4
13,23437,10.186601144429073,-2.606641387032248,7.579959757396823,"(-24.730637, 34.92381, -2.178683, 0.5559429, -0.14925785, 0.43044865, 0.69524354)",0.0,15.812,37.013,0.02,140,0.0,rank_13_index_8
14,1124,11.690030645200602,-1.3698040472662978,10.320226597934305,"(-7.243907, 33.2026, -26.21139, 0.36694553, -0.10648472, 0.9143303, 0.13420957)",0.024,11.998,23.743,0.051,384,0.0,rank_14_index_5
15,182,9.090878650274512,-1.6805005148617589,7.410378135412753,"(-8.990081, 33.17531, -22.864826, 0.38055497, 0.03607658, 0.9015532, 0.20267756)",0.024,12.367,24.457,0.049,295,0.0,rank_15_index_3
16,1940,-1.6450105874804386,-13.037009520547002,-14.68202010802744,"(-16.74076, 32.069695, -21.222303, -0.066614546, 0.013801884, -0.9727019, -0.22186254)",0.024,11.834,22.972,0.054,405,0.0,rank_16_index_4
17,1942,-4.813661164375358,-10.007348353708704,-14.82100951808406,"(-19.155386, 32.941406, -21.368279, -0.13888955, 0.028711103, -0.96897656, -0.20241015)",0.0,12.736,24.121,0.041,730,0.0,rank_17_index_6
18,9796,7.486054237922924,-5.027939632074403,2.458114605848521,"(-13.885516, 35.324474, -25.647358, 0.08389416, -0.5503833, 0.8265699, 0.08259689)",0.0,12.435,20.958,0.052,118,0.0,rank_18_index_9
19,8029,8.536966933525424,-7.6869602958291425,0.8500066376962812,"(-10.417312, 34.09594, -19.280312, 0.6141869, -0.6225115, -0.433441, 0.21767622)",0.61,2.269,10.004,0.444,78,0.8,rank_19_index_6
20,11880,-4.969199039454816,-10.341599722973584,-15.3107987624284,"(-7.026929, 33.68647, -20.992508, 0.56973463, -0.4092108, -0.68792444, 0.1863036)",0.244,4.728,11.532,0.229,9,0.0,rank_20_index_1
21,15876,3.537299908654953,-9.09235292777682,-5.555053019121868,"(-18.47147, 34.97967, -18.030125, -0.08100048, 0.0070355297, -0.96548533, -0.24744195)",0.0,12.664,24.906,0.039,400,0.0,rank_21_index_2
22,20265,4.260424303479588,-6.9800772359154655,-2.719652932435878,"(-11.06051, 36.338985, -8.212481, 0.8672078, -0.29693502, -0.3975938, 0.041224286)",0.146,6.318,25.001,0.101,164,0.0,rank_22_index_2
23,17576,10.172470642367188,-2.9468192720009387,7.225651370366249,"(-13.006357, 35.055656, -21.249514, 0.58109075, -0.698407, -0.0836678, 0.4093422)",0.293,5.214,12.492,0.229,120,0.0,rank_23_index_1586
24,10599,-5.649604394103312,-11.84124583939404,-17.490850233497355,"(-10.06397, 32.952328, -18.871515, 0.090320006, 0.200558, 0.93970275, 0.26187333)",0.049,11.028,22.97,0.062,230,0.0,rank_24_index_5
25,10923,11.515443355755568,-1.1232972536353056,10.39214610212026,"(-22.699034, 33.65474, -25.4135, -0.5659173, 0.64385974, -0.31821293, -0.40487376)",0.0,11.478,21.215,0.052,718,0.0,rank_25_index_7
