,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,2183,6.431170182706303,-23.91351781460192,-17.482347631895614,"(-23.689425, -15.993637, 18.609974, 0.8830907, -0.19851075, -0.1888738, -0.38088182)",0.0,11.55,22.571,0.047,271,0.0,rank_1_index_9
2,13255,7.53928833173155,-25.19674407165549,-17.657455739923947,"(-24.2827, -9.867771, 23.935415, -0.7448121, 0.35565794, 0.5205216, 0.21867737)",0.0,8.563,20.263,0.06,287,0.0,rank_2_index_7
3,8529,-4.079934928145981,-17.315156598635546,-21.395091526781528,"(-19.58568, -3.782972, 22.904938, -0.15466474, 0.31264985, -0.60682607, 0.7142066)",0.0,9.7,28.239,0.035,159,0.0,rank_3_index_7
4,18786,9.28447775023944,-22.83570959687092,-13.551231846631476,"(-38.738457, -1.445458, 6.3436522, 0.29253465, -0.31782815, -0.7721028, -0.46611816)",0.0,6.754,17.97,0.077,699,0.0,rank_4_index_9
5,19498,9.280237909301045,-17.279464802212186,-7.999226892911141,"(-33.90809, -9.646432, 9.211981, -0.16168855, -0.4439507, -0.86241865, 0.18165545)",0.333,2.857,7.017,0.381,194,0.5333333333333333,rank_5_index_1758
6,5080,3.718892866382835,-13.984626895058174,-10.26573402867534,"(-30.695621, 2.0660238, 19.277037, -0.22391002, 0.26508608, -0.2534544, 0.90296984)",0.0,12.915,27.001,0.034,450,0.0,rank_6_index_5
7,5938,-9.16020444712122,-26.87483095098385,-36.035035398105066,"(-23.007664, -1.1181464, 21.523333, 0.24384807, -0.41886938, 0.3951863, -0.78032964)",0.0,11.74,28.377,0.033,280,0.0,rank_7_index_0
8,15912,8.25481837763657,-22.07567534130969,-13.82085696367312,"(-34.722115, -7.5396028, 11.8343935, 0.09178148, 0.46389467, 0.87272966, -0.12133007)",0.571,2.606,5.34,0.512,639,1.0,rank_8_index_10
9,13229,-64.15914186689204,-70.23581238030704,-134.39495424719908,"(-23.032736, -13.7942915, 19.030407, 0.88534033, -0.4493669, -0.0913526, 0.07678922)",0.048,10.496,23.637,0.061,832,0.0,rank_9_index_2
10,8752,5.221950335263649,-11.01870538368058,-5.79675504841693,"(-30.960543, 1.7210027, 15.710019, 0.1389223, -0.23248704, 0.5091127, -0.81697905)",0.0,12.242,24.499,0.041,52,0.0,rank_10_index_6
