,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,14103,3.6430875203141504,-17.96817469697795,-14.3250871766638,"(-35.988327, 4.311439, -0.15856096, -0.00215829, -0.5398917, -0.8283975, -0.1492309)",0.222,4.305,19.505,0.163,64,0.0,rank_1_index_8
2,1651,-2.5140949920443685,-16.221600390066573,-18.73569538211094,"(-17.951517, -3.0451732, 24.056334, -0.09846133, 0.45100147, -0.44175884, 0.7692544)",0.0,11.58,32.467,0.027,291,0.0,rank_2_index_8
3,4738,5.166806837050753,-13.979312519515062,-8.812505682464309,"(-29.632603, 2.6282406, 17.56977, -0.08959961, 0.12684059, -0.43809083, 0.8854151)",0.0,12.053,26.806,0.036,297,0.0,rank_3_index_3
4,1630,-43.42963025082605,-20.8843866290642,-64.31401687989025,"(-21.710075, -3.0504146, 24.395754, 0.521179, -0.32365587, 0.16891304, -0.7714193)",0.0,13.473,29.634,0.029,766,0.0,rank_4_index_8
5,4363,-46.61712873272376,-122.6942420433209,-169.31137077604467,"(-35.09654, -4.48513, 4.154363, 0.5384208, 0.58045083, 0.5211791, -0.31867284)",0.167,7.32,16.167,0.141,731,0.0,rank_5_index_4
6,1292,-17.843406648571822,-19.5231706799012,-37.36657732847302,"(-35.475933, -5.6745167, 4.9532666, 0.16276057, -0.27910075, -0.94613135, -0.021148402)",0.056,3.926,8.783,0.222,814,0.0,rank_6_index_2
7,5239,-6.034230721376483,-19.05592613848736,-25.09015685986384,"(-19.942345, -5.375679, 22.276657, 0.11356551, -0.34734416, 0.56931967, -0.73643064)",0.0,10.626,29.201,0.033,106,0.0,rank_7_index_6
8,585,7.044733859840235,-88.65441418385042,-81.60968032401018,"(-25.063158, -3.1563525, 21.179329, -0.03962252, 0.58556354, -0.46157536, 0.66520196)",0.0,12.818,28.647,0.031,1239,0.0,rank_8_index_7
9,4572,-26.202584586504347,-28.99618906384661,-55.19877365035096,"(-22.552723, -3.8927095, 17.603235, -0.12944828, 0.39816818, -0.6501527, 0.63404)",0.0,10.456,26.103,0.039,604,0.0,rank_9_index_2
10,18642,8.05297166066497,-14.93646574604809,-6.88349408538312,"(-35.02612, -2.1280656, -1.1557764, -0.040818077, 0.30463344, 0.8373005, 0.45217282)",0.056,5.867,19.839,0.091,357,0.0,rank_10_index_5
11,13639,3.6545766969107394,-15.778133857810744,-12.123557160900004,"(-21.220428, -12.784795, 23.044207, 0.7890621, -0.45833, -0.388925, -0.12669675)",0.0,9.563,23.45,0.047,571,0.0,rank_11_index_7
12,1097,6.667075886286627,-11.95325047445482,-5.286174588168194,"(-36.20679, 1.9030329, 2.7230725, -0.33467034, -0.110910386, -0.15258646, 0.92326164)",0.0,14.207,25.777,0.036,54,0.0,rank_12_index_7
