,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,5449,8.296543191260941,-20.411404856322765,-12.114861665061824,"(-37.0717, -8.569137, -0.44396195, -0.55289364, -0.43866926, -0.6847238, 0.18174538)",0.056,7.207,17.905,0.094,335,0.0,rank_1_index_1
2,18340,9.340368739760857,-12.6490811227898,-3.3087123830289418,"(-32.344994, -10.47983, 13.656324, -0.117162056, 0.37741312, 0.90710646, -0.14488049)",0.611,1.07,3.186,0.717,216,1.0,rank_2_index_7
3,6661,8.64577765953369,-12.79116401651411,-4.145386356980419,"(-30.668518, -10.913148, 12.546765, 0.5982274, -0.090198725, -0.32992727, -0.7246628)",0.0,11.72,19.477,0.059,509,0.0,rank_3_index_4
4,1009,9.484004728463576,-12.394662636330064,-2.9106579078664865,"(-31.72444, -12.91355, 11.81472, -0.03543802, 0.35096174, 0.9320763, -0.08248546)",0.389,1.805,4.79,0.519,364,0.8666666666666667,rank_4_index_91
5,13843,8.510688391478494,-12.530078481091095,-4.019390089612601,"(-33.475563, -9.3101225, 9.990213, 0.12795277, 0.39270452, 0.89625007, -0.16170096)",0.5,2.713,5.595,0.477,223,0.46153846153846156,rank_5_index_5
6,18724,8.276917997397435,-12.626781668542757,-4.34986367114532,"(-9.768104, -9.430272, 28.679403, 0.73276806, -0.56769174, 0.28431618, -0.24482952)",0.0,12.773,36.543,0.022,670,0.0,rank_6_index_4
7,11477,7.038109749860801,-27.254450019211447,-20.21634026935065,"(-25.584007, -5.4389434, 24.51098, 0.708231, -0.4087418, -0.51543814, -0.25624713)",0.0,8.549,21.07,0.057,788,0.0,rank_7_index_7
8,19343,9.511500387815548,-12.704535433150753,-3.193035045335204,"(-30.373419, -8.121242, 18.471527, -0.2086281, 0.42868933, 0.8618711, -0.1728526)",0.611,1.591,8.031,0.537,443,1.0,rank_8_index_3
9,21484,7.420312575224869,-21.951810302672957,-14.531497727448084,"(-31.783625, -6.1542454, 14.7886915, 0.09768034, -0.38739502, -0.915718, 0.042945214)",0.389,2.725,5.405,0.445,621,0.8636363636363636,rank_9_index_2
10,6862,6.751386300112024,-17.386067287301163,-10.63468098718914,"(-10.133558, -10.807083, 26.717289, 0.8976379, -0.41340685, 0.054920323, -0.1425652)",0.0,12.416,34.394,0.024,448,0.0,rank_10_index_4
11,1813,-26.350788498515563,-32.1219444289713,-58.47273292748686,"(-29.844574, -8.811975, 6.3871274, 0.4876594, -0.26493597, -0.7693974, -0.316267)",0.167,5.515,12.215,0.187,243,0.0,rank_11_index_3
12,20493,8.535214912657748,-11.454199565778634,-2.9189846531208854,"(-29.656382, -6.381682, 14.5998955, 0.5416238, -0.13590515, -0.14296171, -0.81715083)",0.0,12.561,21.87,0.048,197,0.0,rank_12_index_1849
13,12116,-29.93842953846892,-17.086440625763778,-47.024870164232695,"(-22.991367, -14.802173, 9.0096445, -0.0043107225, -0.12345564, -0.9880975, 0.0916707)",0.444,2.591,14.088,0.321,248,0.3,rank_13_index_4
14,10069,7.596453385830065,-8.590754521904694,-0.994301136074629,"(-33.627625, -10.27426, 3.8495164, -0.18528709, 0.42152274, 0.88222927, 0.09827982)",0.667,2.169,9.017,0.487,463,1.0,rank_14_index_5
15,11400,9.079463689219438,-12.77146358796402,-3.691999898744584,"(-33.089394, -6.342881, 16.612644, 0.23478289, -0.5011732, -0.81441116, 0.1744619)",0.889,1.31,7.316,0.677,440,1.0,rank_15_index_8
16,5603,-0.6010491822966131,-45.27101677582858,-45.87206595812519,"(-32.50085, -4.2189918, 1.5341547, 0.5086894, -0.04626472, -0.48879066, -0.70723295)",0.0,9.317,21.639,0.053,301,0.0,rank_16_index_1
17,8882,7.867569086710219,-12.282012688941334,-4.414443602231115,"(-34.07919, -2.5446022, -1.4863722, 0.2733801, -0.03538573, -0.62371993, -0.7314265)",0.0,8.89,24.305,0.046,456,0.0,rank_17_index_5
18,17877,9.187529511529217,-13.528958531991544,-4.3414290204623285,"(-30.090168, -9.041262, 11.303498, 0.48832035, -0.14910544, -0.13923883, -0.84848297)",0.0,13.192,21.655,0.049,505,0.0,rank_18_index_9
19,8996,-5.274941877129727,-48.24917675433611,-53.52411863146584,"(-15.746838, -5.7799263, 27.071125, -0.6217432, 0.40362144, 0.65284914, -0.15592705)",0.0,6.861,25.967,0.047,1069,0.0,rank_19_index_9
20,21566,3.3231428382884776,-15.275100590602808,-11.95195775231433,"(-30.522482, -8.492659, 14.784626, 0.5566293, -0.26311687, -0.17053647, -0.76931834)",0.0,12.808,21.247,0.05,557,0.0,rank_20_index_7
21,16106,-19.3927478231604,-46.1393889600714,-65.5321367832318,"(-34.094013, -1.509215, 16.135635, -0.5281205, 0.23103075, -0.5622143, 0.59298277)",0.056,11.541,22.04,0.067,988,0.0,rank_21_index_10
22,7748,5.652628058194682,-11.83023782281916,-6.177609764624479,"(-34.208878, -9.678974, 12.511606, 0.63152254, -0.1072037, -0.39144236, -0.6606509)",0.0,10.891,18.459,0.065,773,0.0,rank_22_index_2
23,5904,7.206122875573175,-13.247647846061565,-6.041524970488389,"(-8.767877, -8.077176, 28.367054, 0.8327238, -0.52932674, -0.018203866, -0.16140923)",0.0,12.391,35.862,0.023,835,0.0,rank_23_index_3
24,4008,6.254389457209971,-17.189896709512873,-10.935507252302902,"(-31.911348, -6.6549516, 11.392735, -0.13502507, 0.420702, 0.89708227, -0.0046318118)",0.833,1.814,3.978,0.687,476,1.0,rank_24_index_1
25,12096,9.057343274270606,-12.167132673008588,-3.1097893987379823,"(-35.519836, -4.2739983, 0.079895735, 0.2908933, 0.3777176, 0.87379074, -0.09591814)",0.167,5.478,15.383,0.157,475,0.0,rank_25_index_6
26,14802,8.564935007354762,-11.389989848521704,-2.825054841166942,"(-15.323759, -10.143078, 28.925917, -0.83278215, 0.4945678, 0.20225783, 0.14480476)",0.0,11.119,30.856,0.029,474,0.0,rank_26_index_1335
27,4520,2.5562653798269377,-15.676521298802433,-13.120255918975491,"(-36.117153, -3.5408294, 2.232049, -0.19567311, -0.7195573, -0.64381486, 0.17161569)",0.056,4.553,15.261,0.13,532,0.0,rank_27_index_7
28,11873,-5.39288407558657,-17.37472933647317,-22.767613412059735,"(-33.11531, -12.388668, 8.3604355, 0.19658582, 0.5036452, 0.835942, -0.09432262)",0.222,3.554,8.053,0.3,784,0.2222222222222222,rank_28_index_4
29,7703,7.744671836819232,-8.724935320091808,-0.9802634832725756,"(-35.49043, -6.8811436, -4.222536, 0.1469081, 0.28182974, 0.9394855, 0.12789442)",0.056,5.401,18.838,0.099,410,0.0,rank_29_index_2
30,20138,-11.010542649870288,-56.58293309652274,-67.59347574639303,"(-19.37999, -4.9167004, 28.151806, 0.51416624, -0.4487952, -0.7253182, 0.09016424)",0.0,6.759,23.452,0.054,1144,0.0,rank_30_index_9
31,19548,8.187654779620303,-11.69100768744907,-3.5033529078287664,"(-29.872448, -14.776886, 17.159117, 0.7043569, -0.34110087, -0.38049173, -0.49270445)",0.0,11.172,18.726,0.063,834,0.0,rank_31_index_8
32,5601,7.929206143144494,-7.848185495511117,0.0810206476333768,"(-35.020008, -4.2312245, 4.023003, 0.4944706, -0.16384104, -0.32555333, -0.7890945)",0.0,11.08,22.166,0.049,183,0.0,rank_32_index_505
33,5575,2.485338039749088,-41.539704309847735,-39.05436627009865,"(-16.144625, -6.700124, 27.006514, 0.769554, -0.3867117, -0.48494157, -0.15189593)",0.0,9.522,27.168,0.038,667,0.0,rank_33_index_6
34,9115,1.7403853026022826,-19.31199982749085,-17.571614524888567,"(-25.835756, -13.773987, -8.967319, -0.84445393, -0.21573381, 0.16564931, 0.46142918)",0.0,12.334,27.964,0.033,44,0.0,rank_34_index_7
35,19339,8.964636830877296,-11.991337320319712,-3.0267004894424154,"(-29.2863, -9.545683, 18.981777, -0.08807673, 0.41067195, 0.8668081, -0.26876533)",0.778,1.809,9.298,0.547,607,1.0,rank_35_index_1745
