,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,13317,6.959702453013131,-14.549284531570567,-7.589582078557436,"(-32.59009, -8.88652, 11.243621, 0.12689026, 0.37154993, 0.89388734, -0.21636738)",0.389,2.85,5.861,0.428,286,0.9333333333333333,rank_1_index_0
2,12097,6.987957209874287,-11.903151901098909,-4.91519469122462,"(-34.027126, -8.912828, 7.77776, 0.31148294, 0.45679805, 0.79441947, -0.25141945)",0.222,4.352,9.993,0.249,148,0.14285714285714285,rank_2_index_0
3,5606,-13.257746063720692,-18.28444657638433,-31.54219264010502,"(-30.455143, -4.070679, 3.347325, 0.4883486, -0.061479382, -0.5745512, -0.6539318)",0.0,8.466,21.051,0.057,302,0.0,rank_3_index_7
4,4842,1.5609099342121129,-39.59379409896871,-38.0328841647566,"(-8.751881, -6.742395, 27.47593, 0.8394098, -0.5149171, 0.00079591264, -0.1739282)",0.0,11.793,34.98,0.024,557,0.0,rank_4_index_9
5,4010,8.987224311605479,-13.496984142688923,-4.509759831083446,"(-33.386566, -8.486221, 12.904932, -0.19123696, 0.4124095, 0.8902003, -0.029838156)",0.611,1.772,3.031,0.639,621,1.0,rank_5_index_7
6,18270,-77.2937666198466,-39.26542169242052,-116.55918831226712,"(-21.311098, -16.404558, 9.329164, -0.16451015, 0.21520679, 0.9625616, 0.009886853)",0.389,3.01,15.586,0.272,185,0.3333333333333333,rank_6_index_10
7,14298,9.51835464785207,-11.90137108189652,-2.3830164340444497,"(-34.464466, -5.5404954, 14.562614, 0.08873203, -0.52459145, -0.8392712, 0.11204633)",0.889,1.558,4.857,0.708,707,1.0,rank_7_index_4
8,15289,3.519506775274304,-16.09810675188725,-12.578599976612946,"(-23.056871, -11.239308, 23.69041, 0.8353254, -0.36594653, -0.39717188, 0.10280588)",0.111,7.951,22.063,0.092,134,0.0,rank_8_index_5
9,13705,-6.75713355904227,-15.153755598964535,-21.910889158006807,"(-31.72003, 0.08775148, 13.88137, 0.38919786, -0.1194122, -0.0011874842, -0.91338074)",0.0,12.97,24.338,0.041,183,0.0,rank_9_index_9
10,12896,-20.152350880558583,-55.90020671868719,-76.05255759924577,"(-30.319693, -6.7564716, 12.866657, 0.63595116, 0.051414378, -0.24709767, -0.72929114)",0.0,11.264,20.0,0.057,342,0.0,rank_10_index_1
11,11267,8.018476590026735,-14.34959543013643,-6.331118840109696,"(-32.967613, 0.25854492, 5.8475475, 0.36731502, -0.11979866, -0.43090612, -0.81550467)",0.0,10.185,23.923,0.044,439,0.0,rank_11_index_2
12,2267,0.2204988437925603,-11.898255846899456,-11.677757003106896,"(-33.04875, -10.577778, 0.61345387, -0.11747746, -0.5900031, -0.78331023, 0.15659055)",0.0,4.405,13.817,0.126,274,0.0,rank_12_index_3
13,13567,7.033874090164634,-19.07017792334365,-12.036303833179016,"(-31.90257, -0.6198752, -1.2530804, -0.08055977, 0.1375108, 0.8213967, 0.547639)",0.0,6.752,23.888,0.053,779,0.0,rank_13_index_4
14,18399,-0.8866938435528908,-16.91640064069822,-17.803094484251112,"(-32.48101, -3.8750467, 0.42585975, 0.42521238, -0.07414461, -0.6228126, -0.65253466)",0.0,8.074,22.377,0.053,315,0.0,rank_14_index_5
15,18401,3.538245652397331,-9.975947937652542,-6.437702285255211,"(-33.59809, 1.9809716, 1.0568391, 0.2552096, -0.19966283, -0.62511283, -0.7100963)",0.0,8.201,25.147,0.045,377,0.0,rank_15_index_7
16,19559,-11.492733314588726,-26.227334488779967,-37.72006780336869,"(-27.453955, -9.493715, 12.910719, 0.6223161, -0.23803422, -0.32517385, -0.6710622)",0.0,11.537,19.662,0.058,732,0.0,rank_16_index_2
17,15586,1.0793257008718804,-23.274543411610125,-22.195217710738245,"(-21.751942, 8.127323, 26.839697, -0.29612258, 0.4174112, -0.29267016, 0.8077274)",0.0,11.764,34.442,0.024,1096,0.0,rank_17_index_4
18,13493,8.729851791384808,-11.99883736520177,-3.268985573816961,"(-31.741472, -14.642715, -6.9076476, 0.29293272, 0.50559986, 0.8109495, 0.030334074)",0.0,5.403,23.161,0.063,493,0.0,rank_18_index_10
19,15875,8.39974557199327,-23.80365585477088,-15.40391028277761,"(-11.984248, -1.8871768, 31.197252, -0.687224, 0.68849343, 0.21297368, 0.09133624)",0.0,11.073,34.094,0.026,1110,0.0,rank_19_index_8
20,12080,-6.725537486249653,-15.545664015553038,-22.271201501802693,"(-33.38375, -10.105571, 4.218887, -0.15604071, -0.56068105, -0.7909302, 0.18899097)",0.056,3.716,10.787,0.193,786,0.0,rank_20_index_6
21,21501,1.2209183050337489,-27.138005321786267,-25.91708701675252,"(-30.683475, -4.5746894, 14.8477335, 0.23553196, -0.420129, -0.8763067, -0.010146126)",0.5,3.06,6.66,0.438,1116,0.7,rank_21_index_7
22,3005,5.647499710722253,-13.28837676976316,-7.640877059040908,"(-11.91717, -3.9869127, 27.911194, 0.76965505, -0.59291494, -0.07515934, -0.22457537)",0.0,11.796,33.041,0.026,683,0.0,rank_22_index_271
23,19615,3.075545302483551,-18.363996443675152,-15.2884511411916,"(-24.007792, -13.814975, 16.614214, -0.7730107, 0.22486363, -0.005247962, 0.5931808)",0.0,13.426,22.496,0.046,525,0.0,rank_23_index_3
24,1786,7.265901162021302,-9.91620818999104,-2.6503070279697374,"(-37.36666, -5.6979733, -0.850321, 0.32224336, 0.54301286, 0.74606025, -0.2114014)",0.056,5.523,17.25,0.107,111,0.0,rank_24_index_8
25,3806,7.63311757291653,-17.10620698668814,-9.47308941377161,"(-35.441696, -9.606719, 5.1252065, 0.40862906, 0.36933562, 0.8116958, -0.19432828)",0.167,5.677,13.223,0.175,544,0.0,rank_25_index_2
26,13856,2.1150624366591018,-15.175823113998089,-13.060760677338983,"(-31.523445, -9.066335, 8.473778, 0.13389178, 0.39301476, 0.8945187, -0.16567664)",0.444,2.689,7.286,0.419,575,0.75,rank_26_index_5
27,8915,3.009290485712105,-8.171818965694944,-5.162528479982839,"(-34.527252, -5.5375037, 0.44569427, 0.51110065, 0.40270934, 0.7074633, -0.27585694)",0.111,7.134,17.514,0.115,149,0.0,rank_27_index_3
28,8693,9.12253702537872,-12.624335923178869,-3.501798897800148,"(-24.532644, -12.787879, 20.012873, 0.77896667, -0.27855426, -0.41545573, -0.3781734)",0.0,10.081,19.876,0.059,333,0.0,rank_28_index_7
29,5337,8.459851644435773,-17.191475189544523,-8.73162354510875,"(-29.915588, -14.275852, 3.14954, 0.063893944, 0.18568681, -0.9797394, 0.03935277)",0.0,8.054,18.543,0.069,1014,0.0,rank_29_index_5
30,19360,2.5384233081002208,-14.676003635431549,-12.137580327331328,"(-28.885828, -8.580828, 18.871103, -0.17897077, 0.47397882, 0.83346945, -0.22054994)",0.722,1.916,7.637,0.552,552,1.0,rank_30_index_3
