,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,6346,5.998129248851708,-21.63151501057317,-15.633385761721469,"(-18.30126, -18.464615, 14.801758, 0.2103231, -0.38711905, 0.5282397, -0.7258553)",0.0,12.809,25.515,0.038,55,0.0,rank_1_index_3
2,6585,9.94157888703642,-14.511791153813649,-4.570212266777229,"(-24.711826, -12.840647, 18.298374, 0.414249, -0.1265684, 0.27657464, -0.8578373)",0.0,8.774,18.6,0.067,17,0.0,rank_2_index_595
3,9778,-3.2703507761361976,-13.20132281931099,-16.471673595447186,"(-35.61972, 2.8794005, 2.6656635, -0.22820167, -0.4174857, -0.10627798, 0.8731178)",0.0,7.324,24.848,0.048,638,0.0,rank_3_index_883
4,17617,6.436383460007356,-21.193255769507783,-14.75687230950043,"(-26.366186, -12.008006, 13.886082, 0.49252254, 0.15053682, 0.124188036, -0.84813774)",0.0,7.264,15.455,0.091,117,0.0,rank_4_index_8
5,1297,-1.1301202359069542,-23.32971648523643,-24.459836721143382,"(-25.649673, -8.491911, -7.967092, 0.46430486, 0.677301, 0.5094144, -0.25725746)",0.0,10.236,30.502,0.031,491,0.0,rank_5_index_4
6,9878,-1.1477925452265865,-17.263219067218525,-18.41101161244511,"(-27.350727, -8.502103, 14.817816, -0.8857952, 0.05619444, 0.41415447, 0.20170589)",0.0,9.1,17.318,0.074,982,0.0,rank_6_index_9
7,13509,5.636005368689053,-17.25667554253871,-11.620670173849655,"(-22.116205, -7.8697658, 26.306488, 0.2680107, 0.28106466, -0.66621697, 0.63665366)",0.0,12.295,28.217,0.033,464,0.0,rank_7_index_7
8,12343,8.890468897899092,-15.536829166229898,-6.646360268330806,"(-26.92286, -12.9954605, 15.227557, 0.43216723, 0.0075891316, 0.3374113, -0.83625805)",0.0,8.703,17.551,0.073,153,0.0,rank_8_index_2
9,2446,8.001346693761047,-16.793600650708516,-8.79225395694747,"(-25.357996, -1.887516, 24.52656, 0.49173647, -0.016166298, -0.5123919, 0.7038384)",0.0,13.251,29.277,0.03,282,0.0,rank_9_index_4
10,6916,7.799377849027991,-71.74081106462879,-63.9414332156008,"(-28.096659, -6.887721, -8.344521, 0.34462744, 0.6440947, 0.68291533, -0.00076095376)",0.0,11.505,30.048,0.03,1558,0.0,rank_10_index_10
11,10580,1.8658495532806896,-13.649374044580217,-11.783524491299527,"(-21.377495, -1.935044, 25.181368, 0.3514348, 0.047614753, -0.60749274, 0.71075946)",0.0,12.7,30.058,0.029,200,0.0,rank_11_index_955
12,619,7.247692156716546,-20.04448038097302,-12.796788224256474,"(-32.60015, -1.947041, 18.72208, -0.26365384, 0.028872183, 0.013833509, 0.96408594)",0.056,6.984,17.412,0.097,782,0.0,rank_12_index_56
13,4120,-5.443723099326357,-17.306563399300124,-22.75028649862648,"(-26.812105, -4.9816184, -8.64471, -0.34908736, -0.7408224, -0.45074806, 0.3551711)",0.0,10.046,31.497,0.03,573,0.0,rank_13_index_4
14,12435,0.4211644024760446,-42.26793729348508,-41.84677289100903,"(-25.903175, -8.690321, -6.0111604, 0.4003064, 0.6354513, 0.6422339, -0.15327168)",0.0,10.799,28.987,0.033,728,0.0,rank_14_index_5
15,671,5.62934611983648,-37.00127570272305,-31.37192958288657,"(-29.96431, -8.563116, 20.335733, 0.36216155, -0.028019467, 0.3762586, -0.8523399)",0.0,9.135,19.216,0.063,401,0.0,rank_15_index_7
16,17610,7.5271722718825025,-26.662313540666798,-19.13514126878429,"(-25.125706, -11.526581, 15.731439, 0.447695, 0.122352816, 0.19573613, -0.8638787)",0.0,8.232,17.201,0.076,800,0.0,rank_16_index_1
17,6004,7.592596373101134,-30.43392093316377,-22.841324560062635,"(-19.603247, -14.588419, 19.063332, -0.13325575, 0.08674211, -0.5872434, 0.7936397)",0.0,12.529,25.259,0.039,251,0.0,rank_17_index_4
18,9648,2.7087904758197023,-15.182548740947372,-12.473758265127673,"(-35.693844, -0.12104049, 11.165343, 0.014841504, -0.27338007, -0.6351779, 0.7222133)",0.0,11.352,24.15,0.042,248,0.0,rank_18_index_4
19,6547,-12.049350563808645,-27.00398241993595,-39.0533329837446,"(-26.664774, -14.124211, 13.208113, 0.2865667, -0.18552157, 0.39593193, -0.8524665)",0.0,10.369,18.678,0.064,337,0.0,rank_19_index_6
20,17365,-3.9419737530309344,-10.174903217958835,-14.11687697098977,"(-23.396185, -2.5443835, 25.21029, 0.32057178, -0.051209927, -0.60076284, 0.73054457)",0.0,12.964,29.361,0.03,241,0.0,rank_20_index_1567
21,10264,6.399143853300675,-15.215020027397996,-8.81587617409732,"(-24.136127, -11.811092, -12.464873, -0.48170736, -0.56141895, -0.36624107, 0.5644771)",0.0,8.896,32.475,0.031,299,0.0,rank_21_index_5
22,2451,-30.053500609965653,-22.76669395750667,-52.82019456747233,"(-25.243208, -0.34104353, 20.883198, 0.30670652, -0.17695889, -0.58706284, 0.7279931)",0.0,12.551,28.114,0.033,370,0.0,rank_22_index_10
23,4264,7.498482352697907,-20.23764887227745,-12.739166519579546,"(-32.418167, -0.63298213, -0.16950935, -0.052482568, -0.6884669, -0.3376858, 0.6397087)",0.0,10.595,28.207,0.034,429,0.0,rank_23_index_5
24,18178,9.137469431599364,-51.17346707533832,-42.03599764373896,"(-28.178905, -6.2069793, -9.912792, 0.48867294, 0.6720805, 0.5370949, -0.14503701)",0.0,10.745,31.67,0.029,1241,0.0,rank_24_index_3
25,16586,8.898601633006717,-14.66588398808604,-5.767282355079324,"(-26.916382, -10.53645, -7.263438, -0.25860885, -0.54032224, -0.5817889, 0.55017745)",0.0,11.189,29.177,0.032,373,0.0,rank_25_index_1
26,4276,4.28557146829634,-16.990432088811623,-12.704860620515284,"(-33.70888, -7.906263, 2.3936243, -0.35932484, -0.22116517, 0.49991757, 0.7563426)",0.444,2.271,12.946,0.35,399,0.4166666666666667,rank_26_index_5
27,16951,7.3716687279097,-15.816360804028127,-8.444692076118429,"(-31.1547, -11.693001, 9.407786, 0.40779868, 0.2455354, -0.39243713, -0.78702337)",0.167,3.843,9.233,0.253,509,0.3333333333333333,rank_27_index_1530
28,10192,-58.6561195115338,-61.36371467505936,-120.01983418659316,"(-28.674501, -8.321236, -4.6391478, 0.42401665, 0.5588034, 0.7104307, -0.056894585)",0.0,10.736,27.176,0.036,1377,0.0,rank_28_index_1
29,18392,7.14140394471577,-13.18154018281292,-6.04013623809715,"(-33.809532, -4.180845, 10.882705, -0.45947248, 0.39245078, 0.7419308, -0.29052758)",0.0,13.65,22.594,0.045,279,0.0,rank_29_index_8
30,4246,-39.2078839833086,-35.71402581676996,-74.92190980007857,"(-24.836613, -4.4923687, 24.779713, -0.45043096, 0.64453256, -0.033563253, 0.6168982)",0.389,7.695,24.077,0.179,1584,0.0,rank_30_index_9
31,5844,9.039477960789633,-26.242471558450116,-17.20299359766048,"(-19.722338, -12.711407, 26.050398, 0.2680475, -0.29123798, 0.46362844, -0.79270405)",0.0,10.994,26.725,0.037,769,0.0,rank_31_index_528
32,857,-15.080654673563783,-113.56617982369116,-128.64683449725493,"(-34.34539, -2.1060789, 12.594128, 0.020286184, 0.3789961, 0.66468686, -0.6435386)",0.0,11.342,23.563,0.044,494,0.0,rank_32_index_5
33,20,7.027212331660779,-18.940311438536945,-11.913099106876166,"(-20.020699, -8.248553, -17.422562, -0.25015444, -0.71421194, 0.36968195, 0.53912836)",0.0,6.865,37.373,0.032,13,0.0,rank_33_index_9
34,6909,5.259781444340604,-52.03469098709933,-46.77490954275872,"(-27.59653, -5.672424, -5.7992654, 0.31896105, 0.6648225, 0.6704783, -0.0820595)",0.0,10.88,28.827,0.033,918,0.0,rank_34_index_2
35,7397,-4.287906134988951,-53.42024759084905,-57.708153725838,"(-23.760708, -12.102696, 15.079969, -0.19586018, 0.16444945, -0.5457905, 0.7979398)",0.0,11.454,21.373,0.051,42,0.0,rank_35_index_4
36,15666,7.185393401566934,-17.071959152491836,-9.886565750924902,"(-26.848307, -16.50823, 15.124409, 0.5727171, -0.046680193, 0.19658758, -0.7944618)",0.0,7.271,16.297,0.085,211,0.0,rank_36_index_1414
37,16474,6.750692129908464,-15.370909526881,-8.620217396972535,"(-21.747913, -20.390276, 11.64178, 0.23227444, -0.32158464, 0.5997115, -0.69496626)",0.0,12.877,24.182,0.041,150,0.0,rank_37_index_1487
38,2686,-2.2533834384171207,-29.51434984964404,-31.76773328806116,"(-33.783775, -5.548522, -7.0941896, 0.06921004, 0.20726074, -0.8178076, -0.5323943)",0.056,5.629,23.035,0.081,350,0.0,rank_38_index_2
39,11009,-12.792708566811164,-24.48047261374457,-37.27318118055574,"(-32.440876, -2.2263978, 10.847222, 0.1494855, -0.24642421, -0.7048144, 0.6482021)",0.0,12.349,23.592,0.043,60,0.0,rank_39_index_5
40,13998,-15.646181767588782,-20.31691199259313,-35.96309376018191,"(-29.21982, -4.4301, 19.368214, 0.49534494, 0.18564327, -0.839245, 0.1258487)",0.111,8.7,19.719,0.099,841,0.0,rank_40_index_5
41,2357,2.155007234196926,-28.220535279361616,-26.06552804516469,"(-23.75811, 1.2332678, 26.289251, 0.2812107, 0.07256179, -0.5839192, 0.7580855)",0.0,12.643,30.52,0.029,678,0.0,rank_41_index_3
42,15134,0.9559984281358638,-19.90963740238097,-18.953638974245106,"(-32.298283, -6.95861, -0.09662601, -0.2890432, -0.41649175, -0.19714327, 0.8391205)",0.0,7.752,22.225,0.055,142,0.0,rank_42_index_9
