,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,2366,2.535449887546978,-23.86796795030016,-21.332518062753184,"(-21.440943, -0.11013013, 27.57714, 0.21636459, 0.16245458, -0.5345539, 0.8006542)",0.0,12.736,30.996,0.028,269,0.0,rank_1_index_8
2,659,8.155371510087956,-23.64922717301929,-15.493855662931338,"(-31.169262, -1.8938495, 13.22408, 0.23892926, 0.21214394, 0.032015383, -0.94703895)",0.0,7.741,18.322,0.071,598,0.0,rank_2_index_7
3,665,4.579404098260586,-22.96351187484864,-18.384107776588056,"(-24.536255, -10.785625, 17.1354, 0.4049021, 0.0015481531, 0.32876712, -0.8532081)",0.0,9.341,19.537,0.061,712,0.0,rank_3_index_2
4,10857,-60.83571133772866,-65.83793508063225,-126.6736464183609,"(-26.008167, -3.6788611, -10.907783, -0.5487603, -0.64703786, -0.5149996, 0.12239118)",0.0,9.946,34.073,0.027,675,0.0,rank_4_index_1
5,3636,3.237840825669801,-18.925534288188263,-15.687693462518462,"(-36.83682, -3.3941, -1.5460016, -0.018462727, -0.10989856, 0.95537287, 0.2735765)",0.238,7.48,20.506,0.141,256,0.0,rank_5_index_0
6,9689,6.871989431226229,-40.71572323017792,-33.84373379895169,"(-28.33092, -8.384312, 17.218092, 0.9160544, -0.10837216, -0.34980446, -0.16351351)",0.0,10.064,19.789,0.059,928,0.0,rank_6_index_6
7,5567,7.221170727990607,-20.154706314060704,-12.933535586070096,"(-24.784296, -10.906296, 17.280113, 0.2873584, 0.021330638, 0.40915704, -0.8657717)",0.0,10.521,20.746,0.055,387,0.0,rank_7_index_502
8,16403,9.543056521658446,-17.663873164100313,-8.120816642441866,"(-31.608286, -5.7201533, 0.51878905, 0.32347277, 0.52714914, 0.01904942, -0.7855675)",0.0,7.11,22.796,0.055,550,0.0,rank_8_index_7
9,15493,5.32655228709552,-15.833597250653838,-10.507044963558318,"(-23.501146, 1.7265837, 23.621897, 0.46452165, -0.005400075, -0.5272717, 0.7114598)",0.0,12.431,30.648,0.029,365,0.0,rank_9_index_6
10,18186,-13.415727206751743,-22.11068669366657,-35.52641390041831,"(-25.379385, -8.701531, -7.264797, 0.4519469, 0.6630483, 0.49222317, -0.3373829)",0.0,9.971,31.151,0.03,505,0.0,rank_10_index_8
11,13942,6.198712331281381,-15.640386398507928,-9.441674067226543,"(-22.371813, -13.833163, 18.546898, 0.050266996, -0.28059673, 0.6383643, -0.7150033)",0.0,13.107,24.192,0.041,186,0.0,rank_11_index_9
12,4545,2.350981980549543,-17.853991733089167,-15.503009752539624,"(-28.58943, -8.993304, -5.480969, -0.33910975, -0.60818875, -0.6320026, 0.3401234)",0.0,11.074,29.176,0.032,705,0.0,rank_12_index_6
13,17621,-0.2187325251609522,-58.16709550157017,-58.38582802673112,"(-27.313366, -13.814812, 9.9061575, 0.41848287, 0.009889281, 0.32801655, -0.8468645)",0.0,9.059,18.203,0.069,89,0.0,rank_13_index_8
14,10688,8.68626895904659,-21.657174192134416,-12.970905233087828,"(-33.30345, -7.2416077, 11.069062, 0.3665673, 0.27292153, 0.013338078, -0.8893618)",0.0,7.249,15.593,0.09,855,0.0,rank_14_index_964
15,2487,9.421210014490352,-17.00454272111923,-7.583332706628877,"(-25.636198, -13.872567, 12.343642, -0.4981632, -0.12150839, -0.21043836, 0.832337)",0.0,8.073,17.777,0.073,192,0.0,rank_15_index_7
16,17471,-0.7447672604036981,-27.277742171275072,-28.02250943167877,"(-25.201021, -7.704975, 15.623117, 0.9336148, -0.15985845, -0.2520159, -0.19823402)",0.0,9.608,21.04,0.055,1267,0.0,rank_16_index_1
17,15495,4.293793023146334,-15.913971164201993,-11.62017814105566,"(-24.534258, 1.6897568, 23.168505, 0.3172268, -0.0936652, -0.5198277, 0.78763777)",0.0,12.564,29.895,0.03,846,0.0,rank_17_index_8
18,2533,6.935357477596247,-14.062150910269976,-7.126793432673729,"(-18.398119, -11.788826, 22.211796, 0.22574244, 0.324389, -0.59481585, 0.7000045)",0.0,12.922,28.244,0.032,336,0.0,rank_18_index_10
19,6018,5.044017678790064,-21.536940070440217,-16.492922391650154,"(-20.382133, -17.04359, 17.228077, -0.14143716, 0.3410504, -0.47419775, 0.79926014)",0.0,13.052,24.705,0.04,200,0.0,rank_19_index_7
20,7377,5.236375782371283,-15.97379210831378,-10.737416325942496,"(-26.005232, -10.110699, -6.6967325, -0.29499272, -0.49376526, -0.5011165, 0.64657366)",0.0,10.396,29.774,0.032,145,0.0,rank_20_index_1
21,17060,-3.626172003907248,-9.442759149947475,-13.068931153854724,"(-29.766, -1.9826112, 12.013328, 0.6163124, -0.008113544, -0.6904614, 0.37862426)",0.0,12.522,23.529,0.043,115,0.0,rank_21_index_1539
22,11325,6.954441790136418,-20.862538023758358,-13.908096233621936,"(-24.421984, -12.443221, 20.313549, 0.469531, -0.1715951, 0.29990408, -0.8124982)",0.0,8.893,20.164,0.06,240,0.0,rank_22_index_4
23,8045,9.16277474276052,-18.04818331552896,-8.88540857276844,"(-25.485434, -15.668318, 16.340088, -0.48611876, -0.051070977, -0.14551488, 0.86017776)",0.0,8.422,17.706,0.073,654,0.0,rank_23_index_4
24,14055,2.2615915439594136,-14.236685123596398,-11.975093579636985,"(-22.042849, -3.359432, 24.041988, -0.4050911, -0.004830969, 0.6369181, -0.6559064)",0.0,12.5,29.146,0.031,203,0.0,rank_24_index_1268
25,6930,-103.73469248899396,-140.64980175815975,-244.38449424715373,"(-32.26902, -7.2789407, -5.1873913, 0.4883545, 0.47779486, 0.6753623, -0.27768296)",0.0,10.501,28.07,0.035,1358,0.0,rank_25_index_9
26,261,4.207575552453516,-21.967371450024118,-17.759795897570598,"(-23.766949, -8.988065, -12.791518, 0.3751762, 0.6575583, -0.43905324, -0.48383075)",0.0,6.857,32.298,0.037,80,0.0,rank_26_index_5
27,19358,5.257174122354616,-20.317953941041225,-15.060779818686608,"(-21.380346, -12.921907, 21.605762, -0.32978362, 0.35331693, -0.3871337, 0.78519905)",0.0,10.598,23.597,0.045,420,0.0,rank_27_index_7
28,15316,0.6697184820017306,-13.54571291772402,-12.87599443572229,"(-36.8429, -3.2931876, 0.09578264, -0.2270849, -0.4260868, -0.44627035, 0.75347555)",0.0,9.801,25.728,0.04,359,0.0,rank_28_index_4
29,1013,8.488879771015537,-14.432893393430716,-5.944013622415179,"(-35.62737, -7.0641084, -0.8520546, 0.13051444, 0.21579324, -0.889238, -0.38164788)",0.238,6.353,17.992,0.158,252,0.0,rank_29_index_4
30,18407,6.924313586559705,-12.606464398750598,-5.682150812190892,"(-33.033607, -1.4873476, 12.699338, -0.44449618, 0.19914798, 0.74629503, -0.45365947)",0.0,13.105,23.934,0.042,134,0.0,rank_30_index_7
31,6608,-0.2291538452023562,-15.558410493228775,-15.787564338431132,"(-25.324131, -15.069483, 15.99651, 0.36273557, -0.2717945, 0.35111716, -0.8193092)",0.0,10.174,19.785,0.059,95,0.0,rank_31_index_9
32,3522,-10.86028135470562,-19.46604048319002,-30.32632183789564,"(-30.692198, 0.3881086, 5.0446205, 0.13207842, 0.52025694, 0.3296593, -0.7766677)",0.0,9.179,25.941,0.041,143,0.0,rank_32_index_7
33,1097,8.17756968964788,-20.48190661240572,-12.304336922757836,"(-20.454132, -3.0160847, 29.470318, 0.43793017, 0.16365565, -0.56243134, 0.6819861)",0.0,12.537,32.336,0.026,632,0.0,rank_33_index_99
34,15033,3.370512814581467,-16.10568315663854,-12.735170342057074,"(-34.164272, 3.058726, -0.05290717, 0.15692641, 0.49468222, -0.011010942, -0.85471773)",0.0,7.293,26.799,0.044,138,0.0,rank_34_index_1356
35,9792,-6.880531653943969,-21.61373471799123,-28.4942663719352,"(-36.068066, 3.1981053, 3.862252, -0.18482852, -0.24816328, -0.1413687, 0.9403554)",0.095,7.348,24.184,0.082,370,0.0,rank_35_index_883
36,2291,8.967499696648625,-21.475589988848764,-12.50809029220014,"(-36.79223, -3.2252865, -0.8110461, -0.27553168, -0.23208831, 0.80995005, 0.46281567)",0.048,6.738,17.879,0.093,788,0.0,rank_36_index_207
37,15822,-0.36856926545655,-24.91133979570192,-25.27990906115847,"(-24.41268, -2.7155893, 23.20367, 0.7076753, 0.1914466, -0.557848, 0.38903677)",0.0,11.01,27.475,0.035,502,0.0,rank_37_index_2
38,9148,-0.9786419305375896,-19.73397823489548,-20.712620165433076,"(-26.038647, -4.188852, -18.362036, -0.10289959, -0.4072569, 0.6221997, 0.6606217)",0.0,6.574,35.34,0.035,7,0.0,rank_38_index_9
39,8998,5.992652947898493,-16.98214846500645,-10.989495517107958,"(-24.244953, -9.993181, 23.435074, -0.03965025, -0.38459823, 0.63372606, -0.6700025)",0.0,12.466,25.213,0.039,209,0.0,rank_39_index_2
40,15991,2.1503304779477777,-12.42794413880864,-10.277613660860863,"(-32.72335, -0.95932233, 11.667533, 0.13710298, -0.21738799, -0.59316796, 0.7629529)",0.0,12.02,24.552,0.041,57,0.0,rank_40_index_5
