,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,6018,4.619243407964175,-12.741625951128858,-8.122382543164683,"(-38.45531, 6.0142155, 10.104381, 0.5459917, -0.65001285, -0.5213849, 0.08679973)",0.533,1.723,5.623,0.553,14,1.0,rank_1_index_542
2,9203,-2.710699024018183,-92.17761279086088,-94.88831181487906,"(-39.6469, 10.433145, 11.172513, -0.2886686, 0.82044804, 0.3886857, -0.30407065)",0.133,3.563,9.367,0.245,187,0.0196078431372549,rank_2_index_8
3,9059,-1.8114215879571915,-15.70130939289971,-17.5127309808569,"(-36.19454, 8.490601, 5.426929, 0.49010235, -0.7779193, -0.3926861, -0.020951055)",0.467,1.82,3.828,0.568,2,0.95,rank_3_index_816
4,11733,-73.90076352994821,-33.42763196284946,-107.32839549279768,"(-33.986336, 8.922499, 17.262342, 0.015264491, -0.29965618, -0.014182554, 0.95381975)",0.0,9.214,21.797,0.053,97,0.0,rank_4_index_1057
5,16511,6.269155559939989,-25.12544335823872,-18.85628779829873,"(-41.80851, -3.5557785, 8.353758, -0.3883276, -0.6924004, -0.04021328, 0.6067672)",0.0,11.19,21.659,0.05,18,0.0,rank_5_index_10
6,3801,-20.55452281533659,-45.95064032503387,-66.50516314037046,"(-35.54608, 2.9052777, 16.412092, 0.8397591, -0.46461785, -0.22991234, -0.16147806)",0.333,5.709,17.421,0.197,4,0.0,rank_6_index_7
7,1368,-59.89055419681195,-23.12090269579372,-83.01145689260566,"(-37.972248, 7.1627507, 15.88119, 0.055852603, 0.48099625, 0.21377596, -0.84842384)",0.0,8.3,19.734,0.063,19,0.0,rank_7_index_9
8,14178,-2.870756229997397,-80.5843071987439,-83.4550634287413,"(-39.540127, 7.676798, 5.362444, 0.49434096, 0.21044429, -0.41217953, -0.7358318)",0.0,10.642,17.378,0.071,68,0.0,rank_8_index_8
9,20215,-58.22666654159194,-28.249915043263627,-86.47658158485557,"(-38.413757, -2.0594707, 6.17308, 0.22101393, 0.7209075, 0.34634507, -0.5581133)",0.067,8.082,18.683,0.09,3,0.0,rank_9_index_10
10,15931,-46.176554950259366,-30.867281011146765,-77.04383596140613,"(-37.933956, -2.0536125, 17.370646, 0.23977019, 0.52449906, 0.365329, -0.7307159)",0.0,8.587,23.291,0.049,99,0.0,rank_10_index_8
11,21116,-4.495330012326704,-66.25686505124067,-70.75219506356737,"(-37.286587, 8.787385, 19.351189, 0.8469495, -0.48149619, -0.20787142, -0.08733501)",0.067,6.227,19.004,0.096,161,0.0,rank_11_index_7
12,16954,-62.80547883790357,-13.076080992615845,-75.88155983051941,"(-38.842278, 7.3601537, 4.2079234, 0.11523789, -0.81208026, -0.4073999, 0.401586)",0.133,4.899,10.303,0.208,22,0.0,rank_12_index_8
13,3364,-39.37601894662832,-73.02961569553368,-112.405634642162,"(-36.75225, 14.242813, 6.6924505, 0.2694849, -0.8500469, -0.3198079, 0.32018933)",0.2,3.908,10.458,0.242,39,0.03571428571428571,rank_13_index_4
14,3796,-10.232608675679735,-26.45111620429803,-36.68372487997777,"(-37.071938, 1.4341002, 15.080563, 0.8090431, -0.47606173, -0.3237156, -0.118417665)",0.333,5.11,15.561,0.214,5,0.0,rank_14_index_2
15,3516,-16.762159562724445,-17.165802116029518,-33.92796167875396,"(-36.15424, 9.3381405, 13.744591, -0.8054225, 0.41986772, 0.33350286, 0.25255018)",0.267,5.816,14.654,0.194,46,0.0,rank_15_index_317
16,11887,-17.219639792906648,-29.674690180862942,-46.89432997376959,"(-36.964153, 6.23093, 0.76836705, -0.19995198, 0.82557, 0.5056431, -0.15092497)",0.467,3.178,8.567,0.382,0,0.44,rank_16_index_9
17,6993,-19.291461517684237,-16.790255975888062,-36.0817174935723,"(-40.24909, 1.6228157, 13.590096, 0.16108838, 0.44976956, 0.107836425, -0.87185395)",0.0,9.919,20.278,0.057,40,0.0,rank_17_index_6
18,18656,4.063372214675859,-61.51482404289532,-57.45145182821946,"(-38.52923, 10.826612, 19.755407, 0.079868846, -0.5493066, -0.054941308, 0.8299788)",0.0,8.994,21.486,0.054,251,0.0,rank_18_index_6
19,20907,1.5460126575396451,-23.05471847361093,-21.50870581607128,"(-38.413853, 5.5391464, 9.411995, 0.4442616, -0.7952302, -0.32555646, 0.25348303)",0.133,3.825,7.012,0.287,10,0.37142857142857144,rank_19_index_1884
20,3625,-63.84984012681181,-83.31441366801505,-147.16425379482686,"(-39.892097, 1.3637854, 8.506994, -0.38692692, 0.57260084, 0.674475, -0.25980625)",0.333,3.282,10.551,0.3,105,0.6666666666666666,rank_20_index_10
21,964,-0.1087012574588683,-42.53710137035702,-42.64580262781589,"(-40.089127, 7.9751697, 10.250779, 0.21596707, -0.7822656, -0.22907971, 0.53753245)",0.0,6.185,12.091,0.129,44,0.0,rank_21_index_3
22,23245,-6.674434623372555,-54.935575592029856,-61.61001021540241,"(-39.503624, 12.257162, 8.682898, 0.30909288, -0.7864098, -0.34855545, 0.40562344)",0.133,4.378,10.159,0.217,113,0.0,rank_22_index_1
23,21394,6.191867155792284,-30.05211218658744,-23.860245030795152,"(-41.260807, 10.576527, 9.847654, 0.016925914, -0.6925417, -0.073764145, 0.7173969)",0.0,8.54,16.201,0.082,43,0.0,rank_23_index_7
24,13474,6.3174543355068735,-69.46207221338555,-63.14461787787868,"(-41.67357, 5.4726, 14.108304, -0.2119903, 0.79387116, 0.32678533, -0.46694762)",0.0,5.787,13.435,0.116,367,0.0,rank_24_index_1
25,403,0.4294569657565148,-88.48650991588826,-88.05705295013175,"(-40.613262, 8.082166, 2.7757044, 0.34117427, 0.25718972, -0.5672167, -0.704073)",0.0,11.402,17.865,0.067,82,0.0,rank_25_index_7
26,6023,6.263417434377118,-64.88864125843953,-58.62522382406242,"(-40.192646, 6.4694257, 14.383925, 0.510994, -0.71162367, -0.48145556, 0.026027381)",0.067,3.245,9.011,0.238,-1,0.02378255945639864,rank_26_index_4
27,1535,-10.09714097761939,-75.70052436982981,-85.7976653474492,"(-33.50825, 1.8772943, 19.367298, 0.24841098, -0.7286324, -0.30934125, 0.5582964)",0.067,5.585,18.383,0.103,353,0.0,rank_27_index_9
28,11572,0.0168756993182199,-75.1288573657949,-75.11198166647668,"(-43.869934, 6.3992786, 5.8569913, 0.7245943, 0.1306526, -0.26155514, -0.624085)",0.067,10.579,19.336,0.083,139,0.0,rank_28_index_4
29,15308,-8.532858700234385,-98.06065680484146,-106.59351550507584,"(-42.933586, 7.7249913, 6.091947, 0.47682437, 0.15824485, -0.49529326, -0.70871836)",0.0,11.164,17.577,0.069,275,0.0,rank_29_index_4
30,18331,-22.28162048055151,-124.26974596494644,-146.55136644549796,"(-32.41926, 6.621739, 16.570704, 0.8646518, -0.37784794, -0.11188263, -0.31159356)",0.467,7.008,20.1,0.221,56,0.0,rank_30_index_3
31,11569,1.918436454528333,-59.17982952061221,-57.26139306608388,"(-43.84755, 4.6906233, 6.8015704, 0.7253186, 0.055361327, -0.30068636, -0.6167948)",0.067,10.023,18.751,0.086,65,0.0,rank_31_index_1
32,16296,-40.31056699863686,-21.675601366759217,-61.98616836539608,"(-33.159935, -3.4153528, 17.359592, 0.82758343, -0.39424554, -0.39694822, 0.04591407)",0.333,5.193,20.043,0.188,8,0.0,rank_32_index_4
33,237,-5.19380343526,-14.05103821086027,-19.24484164612027,"(-36.76577, 7.283348, -0.51454765, -0.25563183, 0.8484331, 0.44530264, -0.12852703)",0.333,3.415,8.582,0.33,9,0.8333333333333334,rank_33_index_5
34,16920,-35.49326615623352,-25.297479189438,-60.79074534567152,"(-38.441456, 0.84025943, 4.8209233, -0.21622254, -0.762636, -0.23465292, 0.5626475)",0.067,8.434,17.23,0.098,1,0.0,rank_34_index_6
35,10173,-50.02091866466116,-22.412617243753672,-72.43353590841483,"(-35.148716, -8.890508, 15.083101, 0.3633101, 0.40717742, 0.26022518, -0.7965521)",0.0,10.25,26.947,0.037,33,0.0,rank_35_index_9
36,9062,-12.79060178450019,-30.44357223388061,-43.2341740183808,"(-35.344955, 6.354372, 8.32801, 0.5803862, -0.62828946, -0.5061737, -0.11041937)",0.733,2.244,5.153,0.591,11,0.8333333333333334,rank_36_index_2
37,1166,-45.53526736042261,-89.79297107814851,-135.32823843857113,"(-37.607872, 5.4172187, 20.503403, -0.10278462, 0.34625384, 0.3205496, -0.8756664)",0.0,8.448,22.984,0.05,248,0.0,rank_37_index_8
38,20428,-2.0011892455767253,-30.996067069188687,-32.99725631476541,"(-37.29308, 3.4250915, 11.929544, 0.41182917, -0.76378375, -0.4767432, 0.14052431)",0.267,2.297,7.489,0.376,70,0.6666666666666666,rank_38_index_10
39,13630,3.4415883553304454,-40.85252947567452,-37.41094112034407,"(-41.47223, 7.17936, 13.43147, 0.1994595, -0.7497877, -0.25250548, 0.5781656)",0.0,6.557,14.275,0.104,117,0.0,rank_39_index_3
40,3177,-21.019004975987578,-48.33261496891856,-69.35161994490613,"(-36.41911, 3.2813118, 20.69314, 0.8933042, -0.13198866, -0.30726793, -0.3002882)",0.067,9.488,22.567,0.072,64,0.0,rank_40_index_8
41,10550,-51.709413993667255,-32.87637025149414,-84.58578424516139,"(-38.447136, 10.644116, -0.24010137, -0.017362136, 0.87308246, 0.29834688, -0.3852464)",0.133,6.107,13.682,0.156,80,0.0,rank_41_index_950
42,13217,2.4148314486743416,-56.94732166201592,-54.532490213341575,"(-40.312504, 8.164062, 14.262579, 0.7100514, -0.49730447, -0.4897087, -0.09327791)",0.133,4.973,11.863,0.185,245,0.0,rank_42_index_1191
43,12703,3.607884007146183,-75.0673206459821,-71.45943663883591,"(-42.658913, 12.124894, 10.773501, 0.6560138, -0.14079244, -0.49573675, -0.551424)",0.0,9.439,16.508,0.078,199,0.0,rank_43_index_4
44,5700,-32.022547517085314,-28.52221007698417,-60.54475759406948,"(-37.04447, -8.718608, 6.5843678, 0.7371111, 0.38430604, -0.2631362, -0.48962787)",0.0,11.96,25.373,0.039,7,0.0,rank_44_index_3
45,3150,2.237276805486534,-31.78288621907504,-29.545609413588505,"(-33.195827, -0.88333946, 22.708384, 0.8620685, -0.43242693, -0.14047655, -0.22385566)",0.067,7.456,24.296,0.072,25,0.0,rank_45_index_3
46,2625,-12.69985787371096,-32.6796666887236,-45.37952456243456,"(-40.676258, -2.149127, 14.085694, -0.8654523, -0.18067954, 0.32003218, 0.34048024)",0.0,11.512,23.151,0.045,217,0.0,rank_46_index_237
47,10560,-66.04030658629364,-51.52288170756553,-117.56318829385916,"(-38.42959, 8.391424, -0.39870453, 0.073912084, 0.88218164, 0.32275915, -0.33484185)",0.133,6.304,14.463,0.148,89,0.0,rank_47_index_9
48,16171,-15.23564093686104,-36.21625264018726,-51.451893577048295,"(-37.097893, -11.685145, 6.506227, 0.882138, 0.17471723, -0.33013257, -0.2869128)",0.067,10.372,26.94,0.059,6,0.0,rank_48_index_2
49,4504,-9.265147348580255,-31.640496223185405,-40.90564357176567,"(-36.18873, 2.0036578, 14.394472, 0.7765581, -0.48240888, -0.40519032, 0.0077522923)",0.4,4.228,14.004,0.26,35,0.15384615384615385,rank_49_index_9
50,2680,-42.01479871431064,-20.72096983908533,-62.73576855339598,"(-37.54215, 9.044544, 8.571929, 0.47621363, -0.7584315, -0.33625814, 0.2914324)",0.133,3.549,7.178,0.29,66,0.26666666666666666,rank_50_index_242
51,23093,-0.0371555784795134,-48.242968796178246,-48.28012437465776,"(-42.928524, 9.500201, 7.891231, 0.31322682, -0.7742306, -0.34249738, 0.4302925)",0.0,5.456,10.524,0.155,235,0.0,rank_51_index_4
52,616,5.504689219192471,-46.77721957962628,-41.27253036043381,"(-42.91492, 6.869956, 12.398842, 0.7732173, -0.047058433, -0.4015813, -0.48852125)",0.0,9.824,18.084,0.068,111,0.0,rank_52_index_56
53,12922,-86.17449072635306,-48.70385800079124,-134.8783487271443,"(-39.290478, 12.315625, 1.4165496, 0.078203574, 0.83629626, 0.24778534, -0.48279938)",0.133,7.111,15.405,0.136,171,0.0,rank_53_index_2
54,23171,-12.967758910143903,-22.51265327535891,-35.480412185502814,"(-36.65368, -12.33817, 2.9888127, 0.79634756, 0.43369713, -0.21768847, -0.361039)",0.0,12.299,28.72,0.032,21,0.0,rank_54_index_4
55,6934,0.2986570960573402,-99.66286602933248,-99.36420893327514,"(-39.813675, -0.6008662, 1.5420271, 0.1212304, 0.812698, -0.07164522, -0.5654133)",0.0,11.036,18.301,0.065,26,0.0,rank_55_index_4
56,20212,-20.90701889191905,-11.858552113108534,-32.76557100502758,"(-39.0712, -1.8453535, 3.2961571, 0.15060715, 0.78791326, 0.3468457, -0.48601267)",0.067,7.741,17.533,0.098,42,0.0,rank_56_index_7
57,14655,-10.664277965800125,-72.31015828309202,-82.97443624889215,"(-40.67074, 4.5213327, -5.099141, 0.48485664, 0.32873923, -0.4784078, -0.65419453)",0.0,10.954,21.177,0.052,88,0.0,rank_57_index_7
58,14302,-10.529427382115005,-71.36333866637362,-81.89276604848862,"(-38.112953, 1.3420277, 18.641191, -0.25734803, 0.6947414, 0.4328226, -0.5135865)",0.0,5.007,17.228,0.093,299,0.0,rank_58_index_10
59,6110,3.5142928168770737,-45.346687383549686,-41.83239456667261,"(-41.179485, -0.120618105, -1.6353011, -0.36462152, -0.60057104, 0.31487346, 0.63813823)",0.0,12.187,21.313,0.051,96,0.0,rank_59_index_2
60,609,5.378482647498423,-63.16049648017996,-57.782013832681535,"(-42.760654, 10.675564, 4.291447, 0.22108008, -0.8833639, -0.30453008, 0.27938005)",0.0,5.214,10.399,0.159,316,0.0,rank_60_index_3
61,20913,-75.69641753434655,-32.53110554457966,-108.2275230789262,"(-38.48251, 4.174907, 8.8018055, 0.31232446, -0.7728698, -0.26034173, 0.48718354)",0.067,5.977,10.561,0.173,352,0.0,rank_61_index_5
62,15656,1.840467196650323,-84.9398496508818,-83.09938245423147,"(-44.1315, 10.5260315, 6.2535458, 0.6777486, -0.120143384, -0.41654953, -0.593893)",0.067,8.797,16.696,0.1,334,0.0,rank_62_index_9
63,10791,-19.69299041908966,-46.16292737638412,-65.85591779547377,"(-34.381577, 4.1584597, 22.953697, -0.03911062, 0.23565732, 0.17462698, -0.955218)",0.0,9.4,25.754,0.041,143,0.0,rank_63_index_6
64,16850,-4.09181689665121,-68.20951688254632,-72.30133377919753,"(-33.649227, 8.123744, 18.884323, -0.7803004, 0.38734287, -0.024085019, 0.49042514)",0.267,7.811,22.657,0.142,227,0.0,rank_64_index_3
65,978,-60.37931279178593,-37.105413802818966,-97.4847265946049,"(-36.722824, 10.80016, 0.87456906, 0.17073146, -0.8427093, -0.37876388, 0.34238833)",0.267,4.932,10.781,0.245,77,0.16279069767441862,rank_65_index_7
66,22204,-3.775277872202963,-132.8033863506451,-136.57866422284806,"(-44.0585, 8.550648, 8.205522, 0.6523346, 0.04304944, -0.17323421, -0.7366114)",0.133,10.292,19.586,0.104,370,0.0,rank_66_index_10
67,15236,5.111284997481775,-27.919692194450093,-22.80840719696832,"(-41.156002, -1.7683419, 14.145781, 0.75505334, -0.3807679, -0.48613113, -0.22042434)",0.133,6.302,16.265,0.134,-1,0.02378255945639864,rank_67_index_10
68,9457,-6.765129542740269,-117.73595005981794,-124.5010796025582,"(-41.17079, 10.664188, 2.8753393, 0.50433093, 0.22092699, -0.3004002, -0.77884626)",0.067,10.61,18.708,0.086,242,0.0,rank_68_index_6
69,14291,5.094228125025651,-76.40546013977124,-71.31123201474558,"(-38.63319, 2.1456943, 18.42341, -0.38993868, 0.75666445, 0.36262572, -0.3793539)",0.0,4.941,15.278,0.107,433,0.0,rank_69_index_1288
70,965,0.0276014635263806,-78.63064833424744,-78.60304687072106,"(-41.291992, 8.088751, 9.416524, 0.33775094, -0.68421394, -0.3676728, 0.53159416)",0.0,5.723,11.434,0.14,146,0.0,rank_70_index_4
