,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,1351,-13.88105999455373,-53.23667907755764,-67.11773907211136,"(-38.577248, 9.620068, 10.490296, 0.32957584, -0.77437073, -0.43322784, 0.32255763)",0.235,3.117,8.206,0.314,43,0.18181818181818182,rank_1_index_10
2,4805,-29.220509225947595,-27.78084124520765,-57.00135047115525,"(-31.15071, 3.0131676, 22.00151, -0.88816345, 0.43797436, 0.0673028, 0.121715054)",0.176,6.813,23.667,0.112,34,0.0,rank_2_index_3
3,5178,-9.309890232764182,-43.1935829492996,-52.503473182063786,"(-35.83714, 3.2936368, 14.604609, 0.81954753, -0.42774364, -0.376136, -0.062441573)",0.412,4.884,14.357,0.253,7,0.13793103448275862,rank_3_index_2
4,5664,5.033240616391517,-12.378454999851163,-7.345214383459647,"(-41.184853, -2.1816626, 10.540906, 0.5053339, 0.467313, -0.17212549, -0.7047192)",0.0,12.314,21.634,0.049,6,0.0,rank_4_index_512
5,252,-21.071421225311205,-21.089139763945823,-42.16056098925703,"(-35.31567, 4.745349, 18.108686, -0.8517004, 0.44691932, 0.17187886, 0.21290219)",0.294,6.124,18.634,0.174,14,0.0,rank_5_index_9
6,20353,6.589140088181857,-41.397748621800886,-34.80860853361903,"(-41.408905, 10.761667, 11.064291, -0.13021222, 0.67874414, 0.15014417, -0.706971)",0.0,8.081,15.598,0.087,61,0.0,rank_6_index_7
7,17848,4.6154645255549305,-34.49719078907556,-29.88172626352063,"(-43.010593, 3.5612993, 8.469536, 0.76583225, 0.010522523, -0.36937618, -0.52626175)",0.059,9.495,17.676,0.09,69,0.0,rank_7_index_7
8,9034,-18.859141092505663,-36.20882484225537,-55.06796593476104,"(-35.23224, 5.4631267, 7.5385847, 0.5344657, -0.6761051, -0.4864038, -0.14366515)",0.647,2.137,4.556,0.585,17,1.0,rank_8_index_2
9,16384,-1.2505136586476129,-47.707511397609,-48.95802505625661,"(-40.10715, 4.925285, 14.549097, 0.055299062, -0.7405981, -0.2983041, 0.59955907)",0.059,6.866,15.732,0.11,68,0.0,rank_9_index_4
10,4480,-6.324542086474285,-10.852186298191,-17.176728384665285,"(-37.34899, 0.4599552, 13.318178, 0.77682346, -0.4425866, -0.42262545, -0.14849319)",0.294,4.765,13.629,0.221,12,0.0,rank_10_index_405
11,3862,-52.816339668716815,-60.68570364128072,-113.50204330999752,"(-35.8331, 10.144499, 2.881636, -0.15034188, 0.8733094, 0.35562626, -0.29708272)",0.294,4.895,10.495,0.259,39,0.013333333333333334,rank_11_index_1
12,11540,3.110012344367476,-71.72219657850479,-68.61218423413732,"(-44.387962, 9.934112, 6.611526, 0.65044075, -0.032393787, -0.40211973, -0.643566)",0.0,9.468,17.093,0.074,401,0.0,rank_12_index_6
