,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,6755,13.03754718526652,-4.195850317138081,8.841696868128437,"(23.86539, 7.969295, -15.268529, -0.09172826, 0.4013623, -0.8487304, 0.3318899)",0.0,11.73,20.25,0.055,35,0.0,rank_1_index_6
2,3314,14.25983860461034,-1.950451782786752,12.309386821823589,"(24.39341, -3.457074, -20.990166, -0.16764835, 0.8635645, 0.29058364, 0.376446)",0.0,13.489,37.107,0.021,75,0.0,rank_2_index_4
3,20819,10.997692725191882,-8.81605142329689,2.181641301894992,"(25.63413, 3.457212, -18.65087, -0.31382868, 0.79466635, -0.20045531, 0.47941074)",0.0,15.275,37.65,0.019,73,0.0,rank_3_index_9
4,18654,13.22448141951457,-5.07781182086238,8.14666959865219,"(27.129475, 1.7826741, -20.28544, -0.30833787, 0.82803047, 0.21934429, 0.41374078)",0.0,14.69,40.328,0.018,163,0.0,rank_4_index_9
5,15225,12.262263776249174,-6.136387997852429,6.125875778396745,"(21.317139, -15.813281, -7.4508357, -0.3164179, -0.5592992, -0.52670854, -0.5564551)",0.0,6.193,14.446,0.104,172,0.0,rank_5_index_2
6,9251,4.952027068054612,-16.378006828236217,-11.425979760181605,"(28.951975, -5.7661924, -4.108225, 0.27950543, 0.35795194, 0.6447977, 0.61480325)",0.1,4.999,12.972,0.161,560,0.0,rank_6_index_3
7,16730,4.731017179726574,-8.696696520849773,-3.9656793411232,"(23.128742, -0.66034317, -22.29057, -0.36876866, 0.8162957, 0.0038172682, 0.44458574)",0.0,15.41,39.316,0.018,294,0.0,rank_7_index_6
8,20615,13.169459592272542,-10.692908002141706,2.4765515901308355,"(23.99866, 0.6848602, -23.932089, 0.23794544, -0.86982065, 0.124621056, -0.41384023)",0.0,15.799,39.461,0.018,580,0.0,rank_8_index_5
9,8383,9.570516514716545,-27.309875818726866,-17.73935930401032,"(26.719893, 3.4249537, -15.691364, 0.11215944, -0.5694923, 0.7062089, -0.40542322)",0.033,13.598,27.541,0.044,114,0.0,rank_9_index_1
10,12397,11.79855783159103,-5.314773292390646,6.483784539200384,"(31.0835, -7.6282806, -4.60766, 0.38825056, 0.46699184, 0.7807972, 0.14675094)",0.067,10.467,27.038,0.059,206,0.0,rank_10_index_0
11,14965,13.406342163019628,-2.816360316167014,10.589981846852616,"(28.23007, -5.4068866, 6.886916, -0.32177454, -0.126374, -0.62317127, -0.7015329)",0.167,3.765,7.31,0.293,231,0.09433962264150944,rank_11_index_1348
12,7654,12.288651011782122,-5.063611329397727,7.225039682384395,"(30.487993, -1.2134073, 3.0006483, 0.23365867, 0.12195319, 0.6654232, 0.6983861)",0.1,3.578,6.801,0.286,412,0.125,rank_12_index_6
13,3312,14.129686591727577,-2.608005096553658,11.521681495173915,"(19.424894, -3.1968818, -24.935461, -0.23372634, 0.8794327, 0.23007844, 0.34501323)",0.0,13.78,35.836,0.022,234,0.0,rank_13_index_2
14,18890,7.2485269695237395,-17.22012321607426,-9.97159624655052,"(25.440332, 5.779706, -13.038048, 0.16472219, -0.54184186, 0.7240583, -0.39371777)",0.1,12.995,25.711,0.071,236,0.0,rank_14_index_1
15,6967,12.10340269227344,-8.157649483614755,3.945753208658687,"(27.929348, -1.9832836, 8.156136, -0.35962918, -0.14921062, -0.6137923, -0.6867766)",0.3,3.465,10.638,0.282,395,0.2,rank_15_index_8
16,2018,10.032691003245471,-8.66253050368374,1.3701604995617327,"(28.857302, -6.21114, -14.7588, 0.04608928, 0.80501235, 0.16122685, 0.5690667)",0.0,12.187,33.592,0.025,115,0.0,rank_16_index_1
17,3140,12.983127938663255,-13.00804235025081,-0.0249144115875523,"(20.88528, -9.780853, -25.332106, 0.03619771, -0.93222696, -0.10794574, -0.3434971)",0.0,14.935,38.179,0.019,530,0.0,rank_17_index_7
18,6757,13.089401636095412,-10.971861013074552,2.117540623020861,"(25.970963, 12.212572, -13.7857, -0.16287795, 0.44909483, -0.78122586, 0.40183422)",0.0,12.201,21.022,0.052,445,0.0,rank_18_index_8
19,12786,12.577583420379398,-3.103750391894083,9.473833028485316,"(30.023026, -11.951559, -10.755053, 0.26483205, 0.52256334, 0.8043617, -0.09896371)",0.0,13.242,30.94,0.028,52,0.0,rank_19_index_2
20,10488,11.320806640395276,-14.639613529911076,-3.318806889515802,"(29.242203, -0.07938591, -14.3004265, 0.3489554, -0.7734041, 0.014713627, -0.52901775)",0.0,15.376,40.912,0.017,703,0.0,rank_20_index_8
21,8160,12.580054838374656,-8.563338779097919,4.016716059276739,"(23.984539, -0.5685098, -25.73744, -0.24573481, 0.78772426, 0.22137322, 0.5197104)",0.0,13.22,31.23,0.027,24,0.0,rank_21_index_10
22,4644,12.197524638621124,-15.54603645757287,-3.348511818951744,"(25.639713, -0.4985533, -20.393959, 0.20900553, -0.88196224, 0.11180021, -0.407382)",0.0,15.719,41.253,0.017,636,0.0,rank_22_index_7
23,20558,12.193400981155644,-4.503900073828957,7.689500907326686,"(22.122416, -16.594885, -11.06719, 0.2666667, 0.47222716, 0.17790376, 0.8211216)",0.0,8.752,14.955,0.091,314,0.0,rank_23_index_4
24,9930,12.369822729504646,-4.690863473445042,7.678959256059604,"(27.268227, -14.06131, 0.4289699, -0.38573942, -0.5128444, -0.7632408, -0.075227685)",0.133,9.644,23.267,0.092,286,0.0,rank_24_index_4
25,8883,13.335434158712234,-5.67271425488069,7.662719903831544,"(27.123987, 4.15867, -21.7271, 0.3322789, -0.74679244, 0.27765825, -0.50477487)",0.0,16.133,37.017,0.02,315,0.0,rank_25_index_2
26,1828,13.884582217158927,-4.623279353419695,9.261302863739234,"(30.63717, 7.3603554, -1.7918239, 0.27166077, -0.15059716, 0.9035524, 0.29515073)",0.1,7.067,14.983,0.129,768,0.0,rank_26_index_165
