,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,15904,13.211376818615603,-2.5541097051235884,10.657267113492017,"(29.925787, 9.150625, 2.00705, 0.21396556, 0.050697766, 0.8817092, 0.4174175)",0.172,4.715,10.111,0.226,197,0.0,rank_1_index_8
2,6255,10.049876416102588,-12.037833947996967,-1.9879575318943807,"(23.332033, 5.450655, -17.375349, 0.048188556, -0.40371794, 0.8302112, -0.38136473)",0.0,12.198,20.644,0.053,45,0.0,rank_2_index_1
3,13136,14.464092797860726,-8.97825714611433,5.485835651746395,"(25.498917, 7.154001, -16.536678, 0.08590423, -0.55383396, 0.75652903, -0.33697507)",0.0,12.829,24.809,0.04,1290,0.0,rank_3_index_4
4,6960,11.195212933097022,-9.964633792915158,1.230579140181863,"(28.262709, 0.87136185, 4.731495, -0.22116332, -0.1755676, -0.64852554, -0.70687866)",0.345,2.919,7.994,0.361,236,0.2916666666666667,rank_4_index_10
5,19723,-57.86141740521454,-97.0796092705634,-154.94102667577795,"(26.76457, -6.909687, -11.411811, -0.04272108, -0.87862325, -0.13225678, -0.45684165)",0.034,13.275,39.314,0.031,80,0.0,rank_5_index_7
6,9119,13.106329532386209,-4.759398200094111,8.346931332292097,"(19.104214, 0.38069543, -24.459875, -0.22679684, 0.87320024, 0.13064654, 0.41111544)",0.0,13.316,33.808,0.024,70,0.0,rank_6_index_8
7,16023,11.548988023591992,-11.290885731714788,0.2581022918772042,"(24.183302, -6.849054, -15.230288, 0.08669784, -0.7841535, -0.116071805, -0.6034186)",0.0,11.789,30.412,0.029,122,0.0,rank_7_index_5
8,13128,9.194219265570366,-6.244239137729883,2.949980127840483,"(29.889782, 1.3030307, 5.940517, 0.3149313, 0.21653546, 0.6574089, 0.6494185)",0.31,4.163,13.46,0.237,533,0.0625,rank_8_index_7
9,12504,12.816424788059804,-6.794506542752826,6.021918245306978,"(28.926579, -3.0910609, 6.2515807, 0.31935984, 0.19819136, 0.5857817, 0.7180454)",0.241,3.825,10.418,0.258,244,0.06451612903225806,rank_9_index_3
10,5418,9.07397434753969,-5.053453166624212,4.020521180915477,"(20.169832, -0.18566507, -21.154688, 0.3387484, -0.88411415, -0.08409358, -0.31067666)",0.0,15.094,40.988,0.017,982,0.0,rank_10_index_3
11,12379,11.79855783159103,-5.314773292390646,6.483784539200384,"(31.0835, -7.6282806, -4.60766, 0.38825056, 0.46699184, 0.7807972, 0.14675094)",0.069,10.322,26.941,0.06,65,0.0,rank_11_index_0
12,18853,8.706395997348524,-21.774658947046323,-13.068262949697798,"(26.429905, 5.5327573, -12.687447, 0.14349863, -0.551434, 0.7142723, -0.40637887)",0.103,13.111,25.946,0.071,906,0.0,rank_12_index_1
13,20778,10.344948375960453,-4.813802011350468,5.5311463646099845,"(25.785784, 2.2340124, -18.006838, -0.31239134, 0.7872993, -0.12048029, 0.5177414)",0.0,14.881,36.825,0.02,357,0.0,rank_13_index_10
14,4828,13.755451293742272,-4.909423251498556,8.846028042243717,"(22.699017, 12.653706, -17.137243, -0.1417695, 0.2724592, -0.95059216, -0.045188237)",0.034,10.941,19.671,0.07,873,0.0,rank_14_index_3
15,12178,10.772851930602624,-7.8574951563295645,2.915356774273059,"(34.0, -4.0196075, -2.007627, -0.52912796, -0.3512024, -0.7548492, -0.16396111)",0.0,11.508,30.944,0.029,689,0.0,rank_15_index_9
16,9146,-16.19033420514753,-32.26093491265523,-48.45126911780276,"(28.089968, 1.3384675, 9.8259735, 0.3586823, 0.16718449, 0.4634063, 0.7928751)",0.448,4.861,16.767,0.247,891,0.2,rank_16_index_1
17,6384,12.239844928800276,-3.4199809337097946,8.819863995090483,"(19.72262, -11.817237, -20.408857, 0.015239757, -0.8191955, 0.18838781, -0.54147625)",0.0,14.196,32.966,0.024,792,0.0,rank_17_index_9
18,20224,13.021084764588265,-2.162000322473446,10.859084442114815,"(22.25466, -4.3914013, -22.603804, 0.23281543, -0.8886468, -0.26446608, -0.2935331)",0.0,14.626,39.93,0.018,270,0.0,rank_18_index_6
19,18806,5.180659651640717,-16.538551229917978,-11.35789157827726,"(20.923576, 0.6957927, -20.782438, -0.26282972, 0.83578545, 0.24012637, 0.41799828)",0.0,12.558,34.118,0.024,534,0.0,rank_19_index_9
20,15247,9.761263337765945,-12.58010069679366,-2.8188373590277163,"(26.188335, -14.554564, -8.410015, 0.36960068, 0.5183628, 0.74050343, -0.21529065)",0.0,13.856,32.946,0.025,22,0.0,rank_20_index_5
21,973,7.854491696346426,-7.340568586351065,0.5139231099953614,"(22.83734, 0.3276729, -20.835442, 0.3685258, -0.69740206, 0.32590035, -0.52116036)",0.0,16.176,36.156,0.02,870,0.0,rank_21_index_8
22,17384,13.420419598502184,-2.7098105199071707,10.710609078595011,"(17.638306, -2.298896, -23.608301, 0.2881968, -0.87536955, 0.17924477, -0.34429964)",0.0,15.999,39.469,0.018,748,0.0,rank_22_index_2
23,14314,13.806575043667973,-2.6788320830604206,11.12774296060755,"(23.362093, 7.2236714, -18.415554, 0.48985633, -0.7223707, 0.24682763, -0.42106718)",0.0,16.324,39.047,0.018,564,0.0,rank_23_index_9
