,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,18524,3.396160651061754,-12.311044934265068,-8.914884283203314,"(31.063755, -9.182696, 2.4442663, 0.42019174, 0.64599246, 0.60449713, 0.2017821)",0.333,5.245,13.873,0.227,220,0.0,rank_1_index_8
2,18135,14.818422495739622,-1.991232522928378,12.827189972811244,"(26.583002, -0.42072588, 17.07384, 0.88457793, 0.22958285, 0.27742258, -0.29639587)",0.667,4.329,12.138,0.368,535,0.75,rank_2_index_8
3,4767,7.904725801575706,-19.10502347082511,-11.200297669249403,"(32.47191, -12.814807, 3.7642646, -0.5832443, -0.36667722, -0.19273923, -0.69873136)",0.0,14.951,43.491,0.016,339,0.0,rank_3_index_4
4,7163,13.31551630267607,-2.2902406321165305,11.02527567055954,"(23.229687, 4.872286, -26.444275, -0.27370125, 0.86432326, 0.3649932, 0.21169046)",0.0,9.068,20.319,0.059,153,0.0,rank_4_index_4
5,15597,-2.904818325556885,-15.758734451798228,-18.663552777355115,"(31.899593, -5.16506, -2.8787222, 0.5231533, 0.53914285, 0.65967464, 0.02156226)",1.0,3.599,8.081,0.558,159,0.5172413793103449,rank_5_index_7
6,7569,2.95668440328712,-10.833169871074332,-7.876485467787212,"(29.170294, -12.957327, -7.253024, 0.5081444, 0.41851997, 0.6338633, 0.40601447)",0.0,11.649,34.564,0.024,243,0.0,rank_6_index_9
7,350,13.654640207623682,-1.7537404331978834,11.9008997744258,"(23.82081, -22.140812, -7.1321282, -0.42259192, -0.81638956, -0.39005253, 0.05275714)",0.0,5.378,12.625,0.128,745,0.0,rank_7_index_2
8,5063,13.569347410563276,-2.0833387605533265,11.486008650009948,"(25.39413, 1.8581289, -25.67418, -0.33135584, 0.9021708, 0.15039474, 0.2316736)",0.0,9.553,21.979,0.051,23,0.0,rank_8_index_1
9,6166,13.79273839064741,-3.3270133618953324,10.465725028752075,"(26.191349, -10.594883, -19.48801, -0.30022877, -0.66883373, -0.6689991, 0.12232955)",0.0,5.145,10.176,0.163,357,0.0,rank_9_index_4
10,11324,14.418618002240546,-2.9948340001718243,11.423784002068722,"(27.602365, -14.779248, -4.5800114, -0.53961843, -0.31929994, -0.65476245, -0.4220731)",0.0,12.652,39.48,0.019,655,0.0,rank_10_index_10
11,11190,12.474627449652209,-4.51943267940492,7.955194770247287,"(20.02388, -18.891096, -22.111187, -0.11490649, 0.9149243, -0.21338302, 0.3227657)",0.0,9.494,22.956,0.048,829,0.0,rank_11_index_8
12,5583,13.089829119742609,-2.3152416811146903,10.774587438627918,"(34.08124, -3.3092847, 10.971951, 0.72546554, 0.31744376, 0.6014769, -0.10561728)",0.667,2.645,5.544,0.537,266,0.5,rank_12_index_2
13,6351,13.800162411414208,-2.023990820468745,11.776171590945465,"(33.21028, -3.156959, 10.707964, 0.77946484, 0.27769628, 0.5416338, -0.14816284)",1.0,2.248,4.411,0.699,614,0.9655172413793104,rank_13_index_0
14,15820,-3.864649566430515,-76.0553100714494,-79.91995963787991,"(21.22702, -16.783344, -19.517965, 0.004433165, -0.3481815, 0.8153314, -0.46258482)",0.0,9.025,33.161,0.03,378,0.0,rank_14_index_7
15,7160,13.75655590601834,-2.055216604063516,11.701339301954825,"(21.652014, 0.36078298, -25.249395, -0.2226708, 0.92798716, 0.21798638, 0.20430258)",0.0,9.146,20.664,0.057,329,0.0,rank_15_index_1
