,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,10365,13.84445855367746,-2.705069460309552,11.139389093367909,"(32.842243, 4.3947654, -0.22999856, 0.79764575, -0.07173736, 0.5638082, -0.20183015)",0.312,4.764,16.187,0.206,531,0.0,rank_1_index_10
2,344,13.654640207623682,-1.7537404331978834,11.9008997744258,"(23.82081, -22.140812, -7.1321282, -0.42259192, -0.81638956, -0.39005253, 0.05275714)",0.0,7.315,13.616,0.107,201,0.0,rank_2_index_2
3,4860,11.91399123380216,-6.658162674244718,5.255828559557443,"(27.281528, 14.172544, 4.056669, 0.80764776, -0.04771385, 0.57970506, -0.096801594)",0.5,3.908,11.128,0.332,563,0.8,rank_3_index_9
4,14141,13.820391059946692,-2.0852992017229117,11.73509185822378,"(33.823208, -12.361009, -11.041245, 0.47353178, 0.5988459, 0.6286411, -0.14819457)",0.0,5.706,9.27,0.174,367,0.0,rank_4_index_6
5,3584,-0.5159808770461254,-19.906767784698477,-20.4227486617446,"(26.23191, -14.302044, -13.223403, -0.54778916, -0.4659556, -0.5903514, -0.36646667)",0.0,15.04,40.151,0.018,471,0.0,rank_5_index_9
6,13586,4.045634121224608,-12.234317389383769,-8.18868326815916,"(32.727707, -1.5215659, 9.343983, 0.73291284, 0.38561347, 0.5276668, -0.18896799)",0.812,1.853,3.695,0.683,238,0.8461538461538461,rank_6_index_6
7,2242,11.695683708331174,-7.932309798061852,3.7633739102693218,"(15.100157, -19.281248, -19.119251, 0.08876057, 0.95659655, -0.020637663, 0.2768009)",0.0,11.708,22.325,0.048,146,0.0,rank_7_index_1
8,7815,13.476530838284262,-3.389626117910664,10.086904720373598,"(25.343824, -23.122147, -6.461916, 0.4019327, 0.8583986, -0.025237225, 0.3177499)",0.0,12.534,30.177,0.029,974,0.0,rank_8_index_9
9,3086,14.484168911807238,-2.235591741410781,12.248577170396455,"(33.632175, -1.2999121, 8.297298, 0.81292427, 0.2511922, 0.48601913, -0.19960481)",0.5,2.141,8.179,0.45,-1,0.005115089514066497,rank_9_index_1
10,4891,13.654351944864498,-4.2478568518446025,9.406495093019895,"(24.384918, -13.697094, 5.9508276, 0.5299328, 0.32573736, 0.68525875, 0.3787967)",0.0,11.132,35.186,0.024,490,0.0,rank_10_index_6
11,13600,7.7597301357044115,-6.9241052959027485,0.835624839801663,"(22.715153, 10.137728, -22.409794, -0.0139300525, 0.33745492, -0.93099815, -0.13846536)",0.0,13.308,46.244,0.015,112,0.0,rank_11_index_10
12,3891,12.866839119619463,-2.760717007461285,10.10612211215818,"(24.08626, -3.440855, -23.82771, 0.2761509, 0.60436976, 0.02252509, 0.7469743)",0.0,18.628,52.853,0.011,259,0.0,rank_12_index_5
13,341,10.766242603878846,-6.3380581228990165,4.428184480979829,"(27.004494, -16.524303, -2.1458287, -0.44382685, -0.71506035, -0.5336207, 0.083399266)",0.062,5.129,10.307,0.182,387,0.0,rank_13_index_31
14,12671,14.184896291492588,-3.156253268610925,11.028643022881662,"(21.156094, -15.930474, -20.158585, 0.07069134, -0.9752715, -0.035861343, -0.20630604)",0.0,11.514,22.374,0.048,190,0.0,rank_14_index_1143
15,6148,14.293664940354144,-3.440250124109122,10.853414816245024,"(28.050442, -10.958584, -17.91532, -0.29042304, -0.66623116, -0.67094177, 0.14706396)",0.0,6.265,10.679,0.147,513,0.0,rank_15_index_4
16,2661,-1.7151594544722073,-20.244457964804365,-21.95961741927657,"(30.434774, -9.048884, -8.054045, 0.42804337, 0.4149969, 0.67525154, 0.43427163)",0.0,12.821,35.82,0.022,577,0.0,rank_16_index_6
17,1393,13.50705858225328,-1.9768559204384888,11.530202661814792,"(18.460451, -0.54609233, -27.38605, -0.3265254, 0.91493225, 0.16471188, 0.17073444)",0.0,11.637,20.951,0.053,390,0.0,rank_17_index_1
18,6332,13.800162411414208,-2.023990820468745,11.776171590945465,"(33.21028, -3.156959, 10.707964, 0.77946484, 0.27769628, 0.5416338, -0.14816284)",0.5,2.576,7.69,0.434,284,0.6428571428571429,rank_18_index_0
19,14812,11.215924143607277,-18.37832136901457,-7.162397225407295,"(22.09786, -16.958044, 20.403557, 0.63019705, 0.6578871, 0.29499003, 0.288127)",0.125,6.875,14.344,0.143,601,0.0,rank_19_index_4
20,19303,12.905884070900928,-2.0521955727445658,10.853688498156362,"(29.776262, -13.682799, -4.1895666, 0.32793665, 0.3009738, 0.80583733, 0.3905107)",0.0,12.948,42.54,0.017,752,0.0,rank_20_index_1740
21,4693,12.468476784353124,-7.162806880183588,5.305669904169537,"(23.829828, 14.421166, -23.797548, 0.46775612, -0.50109136, 0.72619015, 0.052532397)",0.0,11.365,31.813,0.028,1333,0.0,rank_21_index_8
22,3727,14.162408104412595,-2.1718173321704644,11.99059077224213,"(32.570168, -14.419625, 0.8447447, 0.61815596, 0.3053578, 0.487993, 0.5352594)",0.0,15.48,44.528,0.015,1148,0.0,rank_22_index_8
23,7381,13.584981598774018,-3.033863250877154,10.551118347896864,"(36.636776, 2.1646717, -2.6138377, 0.6480885, -0.39657384, 0.39232475, -0.51845133)",0.125,8.403,19.547,0.105,682,0.0,rank_23_index_7
24,6138,14.149708420652496,-2.2346018949088045,11.91510652574369,"(32.969524, 16.024597, -4.798842, 0.7453031, 0.010623751, 0.66082567, -0.08786289)",0.125,4.478,9.313,0.227,849,0.0,rank_24_index_5
25,19023,14.12989437363106,-2.5256950832007785,11.60419929043028,"(25.70748, -17.387468, -16.757286, -0.34529573, -0.6661295, -0.61677724, 0.23796687)",0.0,6.254,9.633,0.164,332,0.0,rank_25_index_9
26,3306,11.358994125728737,-5.923486490490349,5.435507635238386,"(20.652878, -23.572924, -7.9843445, -0.5466112, -0.7601416, -0.34121156, 0.08352009)",0.0,8.978,18.864,0.065,567,0.0,rank_26_index_9
27,895,13.59746380998061,-2.121764105006134,11.475699704974476,"(22.000044, -0.9376985, -26.162054, 0.20991, -0.9480972, -0.18960518, -0.14525573)",0.0,12.134,22.16,0.048,569,0.0,rank_27_index_1
28,10956,12.986262968625327,-2.8532618811668016,10.133001087458526,"(13.975127, -18.996593, -19.663124, -0.09375923, -0.9801686, -0.007987013, -0.17439915)",0.0,11.423,21.789,0.05,125,0.0,rank_28_index_1
29,162,12.33771752727307,-9.5170620938801,2.820655433392968,"(30.131348, -10.986348, -11.31323, -0.45606336, -0.28335804, -0.7433692, -0.39889437)",0.0,14.951,43.357,0.016,1168,0.0,rank_29_index_8
30,3580,-22.72769199444868,-22.44088668470577,-45.16857867915445,"(26.533722, -18.298311, -11.523045, -0.42009687, -0.26364064, -0.7228821, -0.48109648)",0.0,17.531,52.11,0.011,1572,0.0,rank_30_index_4
31,1691,13.513523655847528,-2.051580095138954,11.461943560708573,"(25.057117, -5.420408, -18.624676, -0.2625333, -0.5702953, 0.15296122, -0.7631792)",0.0,16.443,49.55,0.012,420,0.0,rank_31_index_1
32,11297,-4.688530731341185,-15.240558300407942,-19.92908903174913,"(28.228828, -13.815165, -5.244309, -0.4479463, -0.43645757, -0.62078124, -0.47273627)",0.0,13.275,37.48,0.021,769,0.0,rank_32_index_10
33,14822,13.188620261727216,-2.43493785152857,10.753682410198646,"(27.712856, -6.363365, -21.383318, -0.24724264, -0.67417693, 0.21569616, -0.6616886)",0.0,17.042,48.521,0.012,1263,0.0,rank_33_index_3
34,20968,13.894040792118211,-4.875386450350991,9.018654341767222,"(31.30019, -5.57573, -5.2394814, -0.34318623, -0.098504946, -0.9149521, -0.18810304)",0.0,11.027,39.731,0.021,1367,0.0,rank_34_index_4
35,1730,10.828503732741924,-7.582208106107096,3.2462956266348275,"(32.175323, -11.734184, 0.5108908, 0.49444994, 0.21681054, 0.27378768, 0.7959603)",0.0,17.834,52.127,0.011,1237,0.0,rank_35_index_7
36,14694,13.251058194522624,-4.591734250206233,8.659323944316391,"(21.509415, -13.872401, -19.579338, -0.0026042538, -0.93944263, 0.14904764, -0.30858642)",0.0,13.133,26.983,0.034,396,0.0,rank_36_index_7
37,14671,13.806041221577468,-2.029617763986621,11.776423457590846,"(30.152311, 17.950546, -1.5514145, 0.7662255, -0.3325684, 0.53474784, -0.1278341)",0.062,7.255,20.546,0.083,628,0.0,rank_37_index_6
38,12688,12.894830708405806,-2.802444640281619,10.092386068124188,"(11.336164, -1.8834864, -31.777094, 0.2641376, -0.92596424, -0.24840692, 0.10543022)",0.0,11.448,21.088,0.052,35,0.0,rank_38_index_5
39,22027,12.723432284309206,-4.023254215713404,8.700178068595802,"(14.447935, -12.923204, -24.59981, -0.17907369, 0.8923728, -0.36851612, 0.18920706)",0.0,11.945,26.705,0.036,489,0.0,rank_39_index_9
40,12077,13.34860247253007,-5.629866130918902,7.718736341611168,"(8.95084, -27.009909, -13.718806, 0.14970556, 0.65965414, 0.58664125, -0.4453052)",0.0,6.701,15.778,0.091,460,0.0,rank_40_index_0
41,4824,13.314071168799137,-2.12363164614446,11.190439522654676,"(19.900042, -19.483635, -20.390636, 0.18687649, 0.97252595, 0.038265027, 0.13344024)",0.0,12.354,25.091,0.039,609,0.0,rank_41_index_6
42,14018,13.688887214991883,-2.474824214147489,11.214063000844394,"(30.890554, -14.055024, -3.9628365, 0.4868114, 0.230273, 0.74140817, 0.4003787)",0.0,14.696,44.884,0.015,783,0.0,rank_42_index_6
43,13836,13.76292068330541,-2.598720590870922,11.164200092434488,"(21.427673, -0.50464803, -27.004133, 0.1860529, -0.9400948, -0.04436163, -0.28220242)",0.0,13.174,24.156,0.041,599,0.0,rank_43_index_1
44,3087,13.745932366599252,-2.116773723426101,11.62915864317315,"(34.409138, -0.10215491, 9.623203, 0.8350123, 0.24154265, 0.45672864, -0.18923663)",0.5,2.485,9.509,0.404,719,0.1111111111111111,rank_44_index_2
45,13841,13.411951135057627,-1.9505477612843745,11.461403373773251,"(25.489769, -2.1455739, -25.757462, 0.24781094, -0.9057713, -0.21059537, -0.27169394)",0.0,11.999,20.949,0.052,293,0.0,rank_45_index_6
46,4981,11.589666449648334,-7.122105677030235,4.467560772618099,"(30.395668, -11.322216, 18.890419, 0.67366886, 0.56655145, 0.3591005, 0.3102202)",0.062,7.104,17.084,0.101,762,0.0,rank_46_index_9
47,18497,5.396009989576041,-8.112944757174013,-2.716934767597972,"(26.830433, -12.540926, -11.577473, 0.33362702, 0.27895305, 0.79681975, 0.4194716)",0.0,14.828,45.445,0.015,1235,0.0,rank_47_index_3
48,19766,12.317055417613096,-3.4231056013819554,8.89394981623114,"(17.10985, -20.180439, -25.382214, 0.10041615, 0.9765672, -0.114476345, 0.15207992)",0.0,13.359,26.569,0.035,307,0.0,rank_48_index_9
49,7145,13.585550219808502,-2.6936437729455687,10.891906446862931,"(23.049025, 4.92759, -26.154627, -0.18221922, 0.90732884, 0.34490293, 0.1568202)",0.0,12.175,21.677,0.049,903,0.0,rank_49_index_3
50,3293,13.584002344194294,-2.0304140995946707,11.553588244599624,"(20.976435, -12.289507, -25.025377, 0.03472919, 0.9628, -0.14987798, 0.22214103)",0.0,14.228,29.677,0.029,253,0.0,rank_50_index_7
51,9118,13.451526474043172,-2.6683770227561148,10.783149451287056,"(26.361488, -21.77288, -6.2523646, 0.57210475, 0.3918716, -0.16642672, 0.70102423)",0.0,17.239,53.211,0.011,343,0.0,rank_51_index_6
52,3988,13.564989620141295,-2.10110629651564,11.463883323625655,"(30.548664, -3.9744365, 14.686999, 0.81527555, 0.23809056, 0.4687986, -0.24262449)",0.438,2.85,7.575,0.404,801,0.75,rank_52_index_1
53,751,12.926771237229431,-2.686107732025068,10.240663505204363,"(30.35107, -5.217744, 11.999606, 0.8002929, 0.28523898, 0.5172004, -0.103313886)",0.375,3.65,11.388,0.292,585,0.25,rank_53_index_1
54,21233,13.188163041946138,-2.057046842705306,11.131116199240832,"(22.12938, -17.4554, -11.856193, -0.4043975, -0.5351933, -0.19427416, -0.71574324)",0.0,16.453,44.189,0.015,294,0.0,rank_54_index_1
55,3725,8.336282994444764,-5.415820249583375,2.920462744861389,"(29.805632, -16.57194, 8.363939, 0.69947225, 0.3194316, 0.45332235, 0.45077816)",0.0,13.501,38.966,0.019,959,0.0,rank_55_index_6
56,22026,12.742353394554176,-4.854163736359942,7.888189658194234,"(14.123029, -14.495258, -24.396393, -0.121349834, 0.9029564, -0.374659, 0.17197293)",0.0,12.344,27.857,0.033,336,0.0,rank_56_index_8
57,342,13.103378802536382,-1.939285344268656,11.164093458267724,"(22.097166, -24.98796, -6.4119067, -0.46459296, -0.8256274, -0.31414318, 0.061699674)",0.0,7.92,15.441,0.089,920,0.0,rank_57_index_0
58,4728,12.777471576930596,-3.746193979467403,9.031277597463191,"(32.403736, -11.320174, -7.617391, 0.38491306, 0.17051329, 0.87093794, 0.25344503)",0.0,13.42,43.171,0.017,1102,0.0,rank_58_index_427
59,5787,-38.97105860284282,-46.50282051457852,-85.47387911742135,"(24.297962, 5.0766807, -18.05274, 0.120163314, -0.23098618, 0.953768, 0.15010943)",0.0,11.994,43.291,0.018,254,0.0,rank_59_index_0
60,168,13.30675159491559,-1.9351238492541205,11.37162774566147,"(24.632814, -14.818183, -17.797012, -0.37348408, -0.5885554, -0.097745575, -0.7103225)",0.0,17.548,47.324,0.013,429,0.0,rank_60_index_2
61,3295,13.438855428201425,-2.4772199999281064,10.961635428273317,"(22.944853, -11.125181, -22.491817, -0.025021147, 0.93210584, -0.08102337, 0.35211927)",0.0,13.306,26.019,0.036,-1,0.005115089514066497,rank_61_index_9
62,10287,12.837349454468594,-1.9608778890421463,10.876471565426447,"(23.054932, -25.733881, -0.40466702, 0.60336435, 0.45050362, -0.039957978, 0.6568115)",0.0,16.354,45.231,0.014,154,0.0,rank_62_index_10
63,13587,13.378458000831746,-2.457448330855988,10.921009669975758,"(32.43144, -3.7161975, 10.083951, 0.714825, 0.26390895, 0.6031766, -0.23570204)",0.312,2.545,8.319,0.36,580,1.0,rank_63_index_7
64,5651,13.373051493873977,-5.100637556190957,8.27241393768302,"(32.804558, -18.807957, 4.749315, 0.63127565, 0.6176365, 0.20917211, 0.4198373)",0.0,12.559,33.013,0.025,1423,0.0,rank_64_index_510
65,9121,13.13631214124305,-2.031587395302914,11.104724745940135,"(24.530392, -24.26555, -6.8180947, 0.46102637, 0.46790442, -0.18060312, 0.7320538)",0.0,16.041,45.855,0.014,530,0.0,rank_65_index_9
66,9362,12.87022786696701,-4.886933597118068,7.983294269848942,"(26.733358, -12.512282, 14.702947, -0.7330395, -0.20840847, -0.50427127, -0.4061151)",0.0,12.092,36.835,0.022,296,0.0,rank_66_index_7
67,345,13.351429822251038,-1.833949011138495,11.517480811112543,"(24.244246, -23.753628, -6.168877, -0.39063343, -0.8094168, -0.42922017, 0.08955443)",0.0,6.456,11.756,0.132,669,0.0,rank_67_index_3
68,4684,13.351390690068849,-2.646697908898375,10.704692781170472,"(23.794666, 12.347811, -24.170206, 0.42458096, -0.5178723, 0.74195576, -0.032263823)",0.0,10.699,30.281,0.031,1435,0.0,rank_68_index_423
69,3351,13.320246157857916,-4.243305696003629,9.076940461854289,"(27.317379, -10.587574, 2.165123, 0.3653769, 0.2043486, 0.8226025, 0.38479427)",0.0,11.854,41.952,0.018,707,0.0,rank_69_index_10
70,3562,8.123058629704406,-30.33163412860876,-22.20857549890436,"(28.753746, -13.295786, -3.8095844, 0.44358602, 0.45530805, 0.01032681, 0.7718934)",0.0,16.151,46.298,0.014,1074,0.0,rank_70_index_9
71,19017,13.266336218304264,-6.5706294831101,6.695706735194165,"(25.88476, -15.893249, -14.2229595, -0.41505817, -0.527467, -0.7039058, 0.23242623)",0.0,5.756,10.241,0.157,1332,0.0,rank_71_index_3
72,6183,10.462613630394832,-13.558238835585636,-3.095625205190803,"(26.242962, -18.428484, -6.718666, -0.60682285, -0.33925998, -0.633807, -0.33905384)",0.0,15.153,42.964,0.016,991,0.0,rank_72_index_6
73,15870,13.2604463455009,-2.311707741713551,10.94873860378735,"(10.904356, -14.407517, -26.90931, 0.062352017, -0.9568268, 0.25616968, -0.12235941)",0.0,12.268,25.087,0.039,1026,0.0,rank_73_index_5
74,21009,8.01997267007566,-20.874793965902214,-12.854821295826554,"(30.269384, -11.653921, -9.097355, -0.27826184, 0.016922604, -0.96017736, 0.018533796)",0.0,12.3,43.875,0.017,1163,0.0,rank_74_index_1
75,13581,8.999404886636198,-7.467975739603879,1.531429147032318,"(33.63674, -5.0759416, 11.221317, 0.7901231, 0.22187465, 0.55634594, -0.13021626)",0.25,4.442,13.615,0.211,971,0.0,rank_75_index_1
76,10960,12.134739360463744,-2.6236582960218264,9.511081064441916,"(15.749061, -26.313595, -16.890001, -0.17480414, -0.9574239, -0.0024850345, -0.2297322)",0.0,11.264,20.974,0.053,727,0.0,rank_76_index_5
77,977,7.7913921258702,-8.986580053736954,-1.1951879278667548,"(30.938276, -9.870606, 5.928395, -0.56998175, -0.09828981, -0.7095878, -0.4024241)",0.0,13.654,44.057,0.016,500,0.0,rank_77_index_6
78,14966,12.425736008077791,-2.3733480015065886,10.052388006571205,"(23.576084, 20.270603, 6.129919, -0.7151007, 0.13653977, -0.68361485, -0.05156228)",0.062,5.351,17.17,0.111,1103,0.0,rank_78_index_4
79,19760,13.155081044503392,-3.899939416885596,9.255141627617796,"(12.296318, -20.216759, -24.315441, 0.2422047, 0.95764863, -0.12082975, 0.09821523)",0.0,14.083,29.647,0.029,-1,0.005115089514066497,rank_79_index_3
80,12649,12.34225548561551,-3.108843843159917,9.233411642455591,"(28.262907, -14.070056, 10.3841305, -0.67362857, -0.19497317, -0.6867602, -0.19123414)",0.0,11.438,36.27,0.023,1059,0.0,rank_80_index_1141
81,2469,11.469584381240676,-8.484536783602115,2.9850475976385606,"(0.90522426, -23.087688, -26.420242, 0.13905418, 0.91262615, -0.20550841, 0.32487506)",0.0,12.195,25.297,0.039,896,0.0,rank_81_index_6
82,10554,13.045534542016162,-2.839902364709017,10.205632177307145,"(13.595367, -15.513584, -25.20971, 0.11583262, 0.9917873, -0.04285573, -0.033228267)",0.0,13.024,27.93,0.033,521,0.0,rank_82_index_952
83,4737,13.102756175972916,-4.814943990671038,8.28781218530188,"(30.97117, -10.75612, -8.658796, 0.35208637, 0.14401148, 0.8949018, 0.2333382)",0.0,13.215,43.471,0.017,1146,0.0,rank_83_index_8
84,10291,2.5743210397487037,-20.801493163089276,-18.22717212334057,"(16.571913, -17.450554, 20.517773, -0.69308794, -0.6429233, -0.31021777, 0.100218974)",0.062,5.253,10.811,0.173,11,0.0,rank_84_index_2
85,543,11.559805450302214,-5.909470855082184,5.650334595220031,"(-0.6102571, -22.565697, -24.609615, -0.14168552, -0.9419466, 0.19979338, -0.22966145)",0.0,11.648,23.239,0.045,91,0.0,rank_85_index_3
