,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,5575,13.6986110396471,-1.8604600893731504,11.838150950273947,"(33.257927, -2.2320719, 10.204635, 0.73722786, 0.24731486, 0.59152585, -0.21313785)",0.0,10.69,22.74,0.047,464,0.0,rank_1_index_1
2,14301,14.314144470114172,-1.8632025932527332,12.45094187686144,"(33.445038, -0.36728907, 9.397831, -0.8398362, -0.16307585, -0.49507672, 0.15159324)",0.0,11.655,28.266,0.033,532,0.0,rank_2_index_3
3,10387,14.831770479546831,-2.1500121796124443,12.681758299934389,"(34.35791, 2.554174, 3.470304, 0.8201451, 0.055693783, 0.56332594, -0.08321123)",0.0,12.767,32.619,0.026,745,0.0,rank_3_index_8
4,19706,12.999300227315306,-1.870263936007012,11.129036291308294,"(33.8766, -6.8237305, 12.435471, 0.8096446, 0.24919577, 0.47217846, -0.24377196)",0.0,11.702,25.763,0.038,677,0.0,rank_4_index_5
5,20742,13.87946190379008,-6.276052778229355,7.603409125560725,"(22.298603, -21.32814, -6.121581, 0.4554863, 0.83668315, 0.28673494, -0.10137405)",0.238,3.685,22.618,0.168,211,0.0,rank_5_index_2
6,7013,7.143763319734304,-13.139652371897782,-5.995889052163478,"(30.845636, -7.392193, 1.4546225, 0.5189168, 0.58328015, 0.6216782, 0.063450165)",0.095,4.714,17.028,0.129,307,0.0,rank_6_index_6
7,14727,12.109264867488832,-12.07867643929016,0.0305884281986728,"(19.200073, -13.128176, -19.399153, 0.08797276, -0.9110504, 0.2278175, -0.33218542)",0.0,8.92,25.869,0.042,94,0.0,rank_7_index_7
8,4484,13.179444956712736,-2.406669562829798,10.772775393882938,"(26.914194, -16.771362, -8.611497, 0.45927125, 0.44459626, 0.5736651, 0.5121646)",0.0,12.366,45.62,0.016,409,0.0,rank_8_index_404
9,2670,12.511886440665515,-3.452044182092793,9.059842258572722,"(30.295355, -14.659229, -6.111691, 0.44362527, 0.32736, 0.7128961, 0.43337205)",0.0,13.536,46.78,0.015,563,0.0,rank_9_index_8
10,150,-11.996140214290516,-15.521858364854852,-27.517998579145367,"(23.215631, -16.396946, -10.657968, 0.444703, 0.3629654, 0.73366314, 0.3636395)",0.0,13.236,47.491,0.015,829,0.0,rank_10_index_6
11,14164,14.203002671414314,-2.3835304417044405,11.819472229709874,"(28.442698, -16.120983, -10.617734, 0.4620608, 0.6359357, 0.60632986, -0.12020695)",0.0,6.062,19.824,0.071,426,0.0,rank_11_index_1275
12,14893,13.571450902555576,-2.4204714958912668,11.15097940666431,"(23.169418, -2.7243745, -28.27614, -0.345913, 0.8917086, 0.17348641, 0.23473921)",0.19,5.544,11.482,0.204,179,0.0,rank_12_index_5
13,899,13.762754455943751,-2.0514891379403544,11.711265318003395,"(21.610199, -0.7491869, -26.02955, 0.20559606, -0.94781774, -0.1952403, -0.14578398)",0.0,7.324,18.727,0.07,485,0.0,rank_13_index_1
14,10911,5.325776642645562,-8.863401650601869,-3.537625007956307,"(32.666523, 1.0901858, 2.954851, 0.7855005, -0.18169251, 0.34354702, -0.48161423)",0.0,12.802,26.47,0.036,712,0.0,rank_14_index_9
15,13617,13.484901121667816,-2.1387268049067263,11.34617431676109,"(34.311707, -4.9965277, 12.197366, 0.82224035, 0.31822154, 0.47007963, -0.041000117)",0.0,11.169,28.288,0.034,385,0.0,rank_15_index_9
16,9307,13.338192821909708,-5.419748555166045,7.918444266743663,"(20.446442, -20.388151, 13.077819, 0.59681743, 0.6784597, 0.42834255, 0.0049005854)",0.0,6.362,16.402,0.088,129,0.0,rank_16_index_6
17,19685,14.139140774923476,-2.9899719411144154,11.14916883380906,"(26.524261, -15.872316, -16.657084, 0.37949267, 0.7341055, 0.54630584, -0.13647158)",0.095,5.137,19.967,0.109,457,0.0,rank_17_index_7
18,2061,13.314191053180648,-2.4368012249617923,10.877389828218854,"(32.29168, -2.3057466, 16.163515, 0.7986104, 0.2490746, 0.46055132, -0.29677552)",0.0,11.21,21.876,0.05,737,0.0,rank_18_index_6
19,2133,14.10373493016139,-2.49446993109698,11.609264999064411,"(27.571869, -18.265034, -12.823474, 0.40275863, 0.74999815, 0.52462006, 0.0078755375)",0.0,5.552,20.068,0.073,635,0.0,rank_19_index_192
20,14469,12.42403436362846,-7.507778908111703,4.916255455516758,"(30.445087, -18.486725, -9.9153805, 0.26530996, 0.2532434, 0.7877455, 0.49490958)",0.0,15.632,55.522,0.011,1238,0.0,rank_20_index_4
21,1409,13.91341181421346,-2.156263207286159,11.757148606927302,"(19.396046, -1.0330362, -28.387928, -0.3362414, 0.9024997, 0.2672933, 0.03147147)",0.19,5.85,15.809,0.159,24,0.0,rank_21_index_7
22,9217,6.713267538587904,-14.028632675515158,-7.315365136927254,"(29.01857, -11.002821, -7.589596, 0.35795382, 0.30439493, 0.7962309, 0.38108954)",0.0,12.161,43.796,0.017,902,0.0,rank_22_index_5
23,13527,13.472954076871709,-1.857372476670294,11.615581600201413,"(25.974773, -20.367365, 8.038598, -0.5506923, -0.47689226, -0.4802042, 0.48858535)",0.0,9.524,19.587,0.061,109,0.0,rank_23_index_1218
24,7219,13.775074274089018,-2.340866227617024,11.434208046471994,"(21.972038, -19.25083, -12.203976, -0.23181497, -0.6399653, -0.027419385, -0.7320891)",0.0,8.681,33.063,0.03,305,0.0,rank_24_index_650
25,4704,12.717132615881358,-4.456887812670685,8.260244803210673,"(23.541744, 15.695549, -23.615704, 0.42260593, -0.4888855, 0.76076496, 0.060266536)",0.0,15.323,41.284,0.017,1305,0.0,rank_25_index_8
26,7344,7.111047090512387,-9.86968587256072,-2.758638782048332,"(25.568048, 8.408333, -19.1854, 0.10298061, -0.33463854, 0.93326753, 0.080148585)",0.0,15.395,48.958,0.013,326,0.0,rank_26_index_3
27,5577,9.159991751963512,-8.422412816263941,0.7375789356995703,"(33.454063, -4.1252384, 11.899627, 0.6343872, 0.46612662, 0.60028416, -0.14120144)",0.0,7.83,16.313,0.083,425,0.0,rank_27_index_3
28,10980,13.609660848438182,-2.94543363030267,10.664227218135512,"(13.472206, -19.32974, -18.834265, -0.14348991, -0.98139304, 0.051738217, -0.11662573)",0.048,5.875,24.401,0.072,116,0.0,rank_28_index_0
29,1733,13.905079486362627,-2.50585114996748,11.399228336395147,"(34.349007, -9.645528, -1.4638528, 0.43859854, 0.3254264, 0.37175822, 0.7506829)",0.0,15.141,50.416,0.012,817,0.0,rank_29_index_156
30,6378,12.398484204112624,-4.310034432362018,8.088449771750605,"(23.03197, -13.692793, 21.409454, 0.6983524, 0.4347488, 0.31560794, -0.47295776)",0.0,10.361,20.387,0.056,40,0.0,rank_30_index_3
31,3315,13.703960085985209,-2.406941017467725,11.297019068517484,"(23.357697, -22.885126, -10.398509, -0.50264233, -0.7935054, -0.3262483, 0.106122114)",0.048,6.015,26.686,0.066,519,0.0,rank_31_index_10
32,13458,13.36243275688924,-1.881691623372296,11.480741133516943,"(27.077694, -14.8834915, 8.570348, 0.52268016, 0.26238778, 0.5912179, 0.5553554)",0.0,12.464,43.657,0.017,521,0.0,rank_32_index_7
33,907,13.828497344614345,-2.8055142984654218,11.022983046148925,"(18.367823, -1.0440756, -28.984783, 0.42221305, -0.8931422, -0.057262328, -0.14406346)",0.143,6.684,16.979,0.13,-1,0.0006393861892583121,rank_33_index_9
34,7198,13.464856545044144,-2.1385921587305905,11.326264386313554,"(21.85725, 0.50343317, -26.06043, 0.24317452, -0.9404303, -0.12866451, -0.19975606)",0.0,8.015,19.363,0.065,606,0.0,rank_34_index_0
35,11015,11.072199254093391,-8.647405815916434,2.424793438176957,"(20.424274, -26.418058, -6.486393, -0.4222564, -0.89536124, -0.07794745, 0.11811851)",0.095,5.321,28.953,0.083,648,0.0,rank_35_index_2
36,2672,8.819934543071279,-16.36247353908714,-7.542538996015862,"(27.522722, -12.905872, -4.3334017, 0.49056196, 0.2930061, 0.759702, 0.31040162)",0.0,12.731,43.651,0.017,806,0.0,rank_36_index_10
37,6158,13.652438913762882,-3.413863564115226,10.238575349647656,"(25.232218, -11.490728, -22.23872, -0.2814891, -0.7409331, -0.59836656, 0.11721554)",0.095,5.401,18.949,0.111,268,0.0,rank_37_index_5
38,14700,13.693464315737415,-2.612053847124772,11.081410468612644,"(29.386774, 17.974678, -0.8453536, 0.7493016, -0.16422652, 0.6236845, -0.15031433)",0.0,12.221,25.51,0.038,589,0.0,rank_38_index_2
39,14579,11.021163848138748,-8.01840137043583,3.002762477702918,"(11.142544, 1.3092157, -37.00832, 0.48311543, -0.85737264, 0.07392291, -0.16139092)",0.19,6.649,14.564,0.164,1345,0.0,rank_39_index_3
40,1687,12.28775158363966,-7.379848890984662,4.907902692654999,"(34.012596, -17.354227, 4.1301665, -0.6566828, -0.37140855, -0.33869544, -0.56223565)",0.0,16.868,50.343,0.012,649,0.0,rank_40_index_10
41,10985,12.777167260587738,-2.124107565890508,10.65305969469723,"(16.449867, -24.94455, -19.52585, -0.16858643, -0.9771008, -0.046568368, -0.12117788)",0.095,4.973,19.607,0.112,395,0.0,rank_41_index_5
42,14857,12.554568623632145,-2.109002682665345,10.4455659409668,"(23.293491, -6.370867, -22.357002, -0.26653498, -0.59593165, 0.14346212, -0.7438032)",0.0,14.565,50.327,0.013,347,0.0,rank_42_index_3
43,19779,13.64887305266652,-1.7958890939447691,11.852983958721753,"(20.50721, -15.970347, -21.915308, 0.09866024, 0.98016924, 0.12344218, 0.119568355)",0.048,5.941,22.015,0.079,-1,0.0006393861892583121,rank_43_index_1781
44,10636,13.245427445949858,-2.226801291303227,11.01862615464663,"(12.037157, -21.83216, -19.086323, 0.10826814, 0.9880874, -0.014914529, 0.10834632)",0.143,4.559,19.224,0.135,250,0.0,rank_44_index_2
45,11319,9.670891656487898,-14.666198801434902,-4.995307144947004,"(28.730795, -13.224805, -4.4393945, -0.58462006, -0.32775015, -0.56547153, -0.4806674)",0.0,13.932,48.661,0.014,1014,0.0,rank_45_index_10
46,15127,13.57839607773986,-2.1009432166847297,11.47745286105513,"(20.485348, -21.470562, -16.613228, 0.22595552, 0.6580319, -0.166637, 0.69869184)",0.0,10.185,33.52,0.027,777,0.0,rank_46_index_5
47,10488,12.189116939897724,-4.011350715487669,8.177766224410053,"(27.418036, -18.474232, -8.732008, -0.13859083, -0.8172296, -0.20648788, -0.5198954)",0.048,4.897,16.546,0.114,675,0.0,rank_47_index_9
48,14393,12.697368590850305,-4.962958500472734,7.734410090377569,"(31.545086, 6.0584593, 17.012115, -0.62628067, -0.32985064, -0.5771904, -0.40721294)",0.0,9.826,25.341,0.041,381,0.0,rank_48_index_6
