,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,4141,5.243859991596583,-26.710609131010475,-21.46674913941389,"(-39.534817, -14.378986, -9.477023, 0.54672056, -0.41938046, 0.7229813, 0.050149042)",0.0,8.88,19.244,0.064,60,0.0,rank_1_index_6
2,26016,4.03076106641533,-26.895048299082447,-22.86428723266712,"(-30.535248, -4.9116006, 28.865137, -0.06720192, 0.6572198, -0.6553527, -0.36614066)",0.0,9.241,38.332,0.024,686,0.0,rank_2_index_10
3,4166,-9.20189890184789,-29.26887670156773,-38.470775603415625,"(-39.81664, -1.489419, -5.8995028, -0.7842525, 0.17228587, -0.59151834, -0.073291674)",0.059,5.92,29.559,0.065,156,0.0,rank_3_index_10
4,16542,2.173040775699228,-28.744460685650573,-26.571419909951345,"(-35.242386, -1.1324911, 28.230173, 0.06451962, -0.6630075, 0.7040019, 0.24625109)",0.0,9.658,34.839,0.027,458,0.0,rank_4_index_2
5,4025,2.57950122629169,-23.4659942648989,-20.88649303860721,"(-39.569794, 13.042958, -4.4695787, -0.7225404, -0.3366423, 0.13355245, -0.58887285)",0.0,10.334,31.578,0.029,150,0.0,rank_5_index_1
6,5510,4.310286818272825,-28.11952279380315,-23.809235975530324,"(-35.714912, -15.93874, -13.130451, -0.49380133, 0.6281025, -0.5001283, -0.333945)",0.0,10.485,32.047,0.029,2605,0.0,rank_6_index_496
7,495,4.3025025192775495,-35.33002985593312,-31.02752733665557,"(-16.774984, -10.997528, 35.83134, 0.055421438, -0.21345179, 0.9116144, 0.3468803)",0.059,3.401,5.535,0.308,1586,0.75,rank_7_index_2
8,22095,1.7309473884655802,-24.14164780884355,-22.41070042037797,"(-41.66634, -3.9964795, -4.791276, 0.45670068, 0.16348974, -0.14113149, 0.863005)",0.0,10.735,36.326,0.024,386,0.0,rank_8_index_9
9,21009,1.5231806052674273,-29.252694895891445,-27.729514290624017,"(-33.696304, -3.2302837, 30.355494, 0.024065169, 0.6758051, -0.6815093, -0.27973837)",0.0,10.085,37.339,0.024,1354,0.0,rank_9_index_3
10,22749,-8.97116609697754,-41.58937897139625,-50.56054506837379,"(-38.861332, -3.852161, -8.079677, 0.77116007, -0.35908285, 0.52249223, 0.058082633)",0.0,6.255,30.928,0.042,895,0.0,rank_10_index_9
11,18142,-1.031383086628857,-23.091367791045407,-24.122750877674264,"(-39.936047, 10.597436, 0.579303, -0.79294384, -0.3791653, 0.022603199, -0.4764063)",0.0,10.674,37.537,0.023,614,0.0,rank_11_index_6
12,5274,4.053750022690075,-23.88220789529427,-19.828457872604197,"(-14.060511, -9.615421, 39.02896, 0.041380677, -0.8599482, 0.47611567, 0.1791384)",0.0,7.793,33.802,0.032,625,0.0,rank_12_index_7
13,26188,4.039908553595975,-28.815410481997528,-24.775501928401557,"(-18.030273, -7.8964047, 39.282036, -0.25631958, 0.7735698, -0.5471784, -0.19101296)",0.0,9.459,42.443,0.021,2251,0.0,rank_13_index_5
14,5435,2.0110871760727527,-24.361916127651217,-22.350828951578464,"(-33.148823, -9.294362, 34.002037, -0.4194509, 0.58705515, -0.6714707, -0.16898026)",0.0,8.474,37.78,0.026,1147,0.0,rank_14_index_1
15,19321,-15.169412112781032,-27.652477557755788,-42.82188967053682,"(-43.731018, -2.120885, -0.51079345, 0.39591375, 0.15447499, 0.050487496, 0.9037925)",0.0,9.173,33.589,0.029,175,0.0,rank_15_index_4
