,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,11688,8.634138028241903,-15.40472963789508,-6.770591609653177,"(-33.66644, 1.7384648, 24.28283, 0.45705906, 0.6538831, -0.17079447, -0.5782414)",0.125,6.117,25.253,0.094,1214,0.0,rank_1_index_6
2,9846,7.057665479711375,-11.022410284297758,-3.964744804586383,"(-34.45306, 11.701769, 22.26399, 0.06478653, 0.5460558, -0.18957014, -0.81344265)",0.375,7.356,22.329,0.18,834,0.0,rank_2_index_4
3,8131,10.997759675170956,-10.233522701944294,0.7642369732266623,"(-35.46812, 0.19404781, 19.019163, 0.71935636, -0.17217793, -0.47004345, 0.48160186)",0.0,8.295,27.165,0.04,53,0.0,rank_3_index_7
4,16300,2.3843975391201866,-13.36165268138164,-10.977255142261452,"(-36.845955, -0.37380138, 7.918286, 0.108435065, -0.70676255, -0.10497712, 0.6911645)",0.125,7.965,26.004,0.085,635,0.0,rank_4_index_7
5,12856,11.390508535834096,-10.230966472057244,1.1595420637768503,"(-34.62824, -2.2236717, 22.185978, 0.7254799, 0.56570804, -0.3075839, -0.24299279)",0.125,4.593,21.756,0.118,602,0.0,rank_5_index_1159
6,4500,-1.7124804622815653,-12.859046153936564,-14.57152661621813,"(-38.19241, 6.225172, 18.439219, -0.12972464, 0.53246933, 0.2839354, -0.7867837)",0.875,9.23,40.17,0.315,288,0.36666666666666664,rank_6_index_2
7,19361,3.090976893488833,-5.327640240962585,-2.236663347473751,"(-34.810646, 1.4735227, 23.355024, 0.3489729, 0.73349714, 0.059791826, -0.58019376)",0.0,7.904,39.906,0.026,580,0.0,rank_7_index_4
8,14603,-0.0078434859623222,-10.963566108484606,-10.971409594446929,"(-37.54524, -5.8007603, 2.9914792, -0.015329044, -0.8486143, -0.115321875, 0.5160618)",0.0,7.305,29.751,0.039,623,0.0,rank_8_index_6
9,5040,-26.732557379915317,-13.85365318300655,-40.58621056292186,"(-25.94496, 29.528435, 7.619523, 0.8845086, -0.4176214, -0.20743844, 0.014361959)",0.0,9.169,19.202,0.063,2155,0.0,rank_9_index_1
10,19498,-2.9439691431100714,-7.096646394423546,-10.040615537533618,"(-35.748524, 2.1483092, 17.880226, -0.004027289, -0.5358644, -0.095382415, 0.8388894)",0.5,8.178,30.343,0.202,626,0.0,rank_10_index_7
11,11050,10.014280092561648,-10.016819033703538,-0.0025389411418892,"(-38.729282, -7.605425, 0.006777227, 0.0798957, -0.64380276, -0.4091907, 0.6416368)",0.0,8.708,34.434,0.029,141,0.0,rank_11_index_3
12,17019,-15.441419214466189,-38.79880626868158,-54.24022548314777,"(-33.65879, -4.358352, 18.245636, 0.30702844, -0.26836583, -0.5046538, 0.7609454)",0.125,10.463,42.259,0.061,264,0.0,rank_12_index_5
13,11087,11.030978356915142,-10.909118365017267,0.1218599918978746,"(-38.295647, -2.8865125, 7.640266, 0.5701425, 0.47739765, -0.60397285, -0.2867854)",0.375,3.076,15.041,0.27,219,0.05263157894736842,rank_13_index_7
14,19545,-4.705860769417898,-13.24073101183148,-17.946591781249378,"(-37.900497, 6.974963, 17.17395, 0.17897005, -0.56681424, -0.24638818, 0.76549613)",0.625,9.102,36.557,0.234,646,0.16666666666666666,rank_14_index_9
15,11088,9.322581585721068,-8.960754438142647,0.3618271475784205,"(-36.78099, -4.07418, 8.012036, 0.55531317, 0.49959967, -0.58063203, -0.32387355)",0.5,3.053,14.823,0.314,279,0.5,rank_15_index_8
16,15725,6.353321463478544,-14.990527024464797,-8.637205560986253,"(-37.785736, 3.7217584, 11.106808, -0.20527226, 0.729454, 0.07159635, -0.64856327)",0.0,8.422,26.997,0.04,187,0.0,rank_16_index_10
17,17808,1.3769386691886147,-15.317080613118478,-13.940141943929865,"(-35.705486, -4.033832, -8.477486, 0.22349359, 0.8957205, 0.19542491, -0.33097532)",0.0,6.982,39.099,0.03,37,0.0,rank_17_index_5
18,5614,11.204938574239176,-9.880235926719248,1.3247026475199275,"(-19.410397, -11.815134, 30.488459, 0.9345181, 0.31620273, -0.1486253, 0.06783983)",0.25,3.253,14.027,0.231,881,0.5,rank_18_index_506
19,8183,11.180119192180658,-11.699974679784107,-0.5198554876034489,"(-37.597855, -4.1335344, 15.61626, 0.60625774, -0.36695197, -0.5758206, 0.40771115)",0.0,9.711,34.888,0.026,1556,0.0,rank_19_index_4
20,14617,11.175967975046248,-10.98618127330408,0.1897867017421681,"(-41.090298, 3.5687284, 6.9066067, -0.12774107, 0.71446484, 0.30463356, -0.6167825)",0.0,8.411,36.98,0.027,1437,0.0,rank_20_index_9
21,18093,10.350167709595944,-9.468775330441725,0.8813923791542191,"(-15.683327, 14.581558, 35.568256, -0.7235212, -0.06772837, 0.28561762, 0.624782)",0.125,5.113,13.64,0.161,891,0.0,rank_21_index_0
22,1252,10.41917580778082,-11.73912575193576,-1.3199499441549385,"(-38.007122, 1.1806606, 1.6434178, 0.32102075, 0.7748368, -0.3972541, -0.37250882)",0.0,4.624,20.591,0.08,202,0.0,rank_22_index_9
23,19360,8.956822556743733,-11.126945041667508,-2.170122484923775,"(-37.081085, 3.675005, 22.176426, 0.33098492, 0.67485386, 0.03933474, -0.65838736)",0.0,7.332,36.232,0.031,641,0.0,rank_23_index_3
24,9059,11.069926653221806,-9.595737768177193,1.4741888850446134,"(-12.792281, 11.977739, 35.938015, -0.8797633, -0.00086764357, 0.15472794, 0.44952762)",0.25,3.771,12.056,0.24,112,0.07142857142857142,rank_24_index_2
25,16212,10.53231155292252,-10.999445739649312,-0.4671341867267919,"(-39.024113, -5.768892, 15.448527, 0.4334029, -0.46678236, -0.5897569, 0.4964505)",0.0,10.533,41.44,0.02,59,0.0,rank_25_index_8
26,18987,8.884873292015442,-10.683373397591437,-1.798500105575993,"(-35.499348, -10.205352, 5.6579294, -0.17074636, 0.7300655, 0.19594976, -0.6320235)",0.0,9.532,27.327,0.037,201,0.0,rank_26_index_9
27,6768,-9.28152968967551,-15.447724620918136,-24.72925431059365,"(-38.24191, 5.7364154, 15.201103, -0.2012154, 0.51908016, 0.17794013, -0.8114219)",0.375,8.95,32.289,0.156,667,0.0,rank_27_index_5
28,3798,10.567660474642048,-12.25776797610628,-1.690107501464233,"(-15.632443, -16.985983, 30.564222, 0.41909182, -0.22913148, -0.0898166, 0.873953)",0.0,13.076,30.889,0.028,2070,0.0,rank_28_index_0
29,20891,8.541449472431177,-12.905708212379585,-4.364258739948408,"(-31.446304, 11.936339, 26.978134, 0.105897784, 0.46543813, -0.27279824, -0.83530486)",0.125,7.521,20.815,0.102,1271,0.0,rank_29_index_4
30,15088,8.563326188417342,-11.259614050755914,-2.696287862338572,"(-35.530094, -2.7983267, 18.22903, 0.4805779, -0.41607532, -0.58745116, 0.50082684)",0.0,10.113,41.382,0.021,483,0.0,rank_30_index_3
31,14046,2.012706644424643,-17.534445864610852,-15.521739220186207,"(-35.114555, 17.22164, 16.15274, 0.8487897, -0.23208083, -0.4558641, 0.13372543)",0.125,7.05,18.731,0.113,94,0.0,rank_31_index_5
32,2178,10.352061163737,-9.758808426861432,0.5932527368755682,"(-39.16387, -9.5838585, 7.4639473, 0.27172652, 0.7800443, 0.34520793, -0.4455638)",0.0,8.134,47.506,0.021,830,0.0,rank_32_index_10
