,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,1979,-13.328157912775415,-22.139793047513493,-35.46795096028891,"(-35.21922, 11.482118, 13.171696, -0.605346, 0.48999822, 0.099457026, -0.6193273)",0.12,8.088,19.029,0.107,192,0.0,rank_1_index_10
2,4687,9.249700748940745,-13.22455156790607,-3.974850818965328,"(-36.871975, 6.625558, 14.008033, 0.6585028, -0.42139745, -0.26985526, 0.5621179)",0.12,6.826,18.705,0.112,17,0.0,rank_2_index_4
3,2888,7.178512765834757,-26.074386041031705,-18.895873275196948,"(-38.551758, 4.1965494, 11.508933, -0.41232243, 0.5840403, 0.2933687, -0.6346826)",0.12,9.288,30.465,0.073,9,0.0,rank_3_index_7
4,7714,-83.83415477202053,-28.934004377164527,-112.76815914918504,"(-29.850065, 7.5647707, 21.495129, 0.25493848, -0.551721, 0.01367586, 0.79399204)",0.12,11.523,29.343,0.071,50,0.0,rank_4_index_3
5,15890,4.413052632042021,-24.112563640597745,-19.699511008555724,"(-32.52626, 12.480972, 19.600946, 0.5599184, -0.47509363, 0.032710895, 0.67801726)",0.08,8.915,20.487,0.085,21,0.0,rank_5_index_8
6,6004,-10.022262012482248,-24.153976550109952,-34.176238562592204,"(-34.766407, 9.730547, 20.10097, -0.3891473, 0.56257975, 0.009105165, -0.72937346)",0.16,10.447,26.907,0.09,16,0.0,rank_6_index_541
7,10158,-33.37056671589819,-43.13229002707165,-76.50285674296984,"(-33.593403, 7.693808, 18.804369, 0.4118873, -0.5192935, -0.14730589, 0.7341553)",0.2,9.61,27.369,0.104,10,0.0,rank_7_index_0
8,49,-61.71797372294455,-91.06534011206698,-152.78331383501154,"(-31.53691, 5.8035216, 19.282864, 0.8383501, -0.047466993, -0.37477276, 0.39301568)",0.68,2.516,5.543,0.548,103,0.8809523809523809,rank_8_index_5
9,758,6.807082657212945,-15.06794874811812,-8.260866090905175,"(-33.557297, 2.358828, 19.47214, 0.46433973, -0.4294031, -0.20696722, 0.74643564)",0.16,8.888,23.441,0.101,5,0.0,rank_9_index_5
10,4090,-76.75365035636568,-48.26239920940709,-125.01604956577278,"(-31.302511, 4.8716965, 20.469389, 0.84517497, 0.009729623, -0.37950802, 0.37624243)",0.64,2.196,5.804,0.547,93,0.953757225433526,rank_10_index_9
11,9837,4.749682483404275,-21.199698391052703,-16.45001590764843,"(-32.146835, 9.135579, 20.61326, 0.6834097, -0.35903236, -0.15438809, 0.6166128)",0.24,6.72,16.297,0.167,15,0.0,rank_11_index_0
12,1073,5.5903035733437605,-18.551428122480537,-12.961124549136777,"(-37.40833, 8.004171, 10.746828, 0.56342345, -0.4869833, -0.38484472, 0.5452485)",0.24,7.047,25.063,0.129,61,0.0,rank_12_index_97
13,7758,8.506623274827074,-14.39959995933032,-5.892976684503246,"(-31.078611, 11.656309, 22.427982, 0.88142383, 0.0925768, -0.384103, -0.25881755)",0.32,5.277,22.503,0.173,88,0.0,rank_13_index_2
14,6006,-9.174239203799129,-24.83712547045479,-34.01136467425392,"(-33.19222, 5.892462, 18.627491, -0.3222588, 0.54036593, 0.08819095, -0.7722541)",0.16,10.541,27.966,0.088,12,0.0,rank_14_index_1
15,11963,8.351154698305454,-14.526695613481689,-6.175540915176235,"(-29.872095, 10.782032, 25.422901, 0.9426564, 0.029701144, -0.30924562, -0.12200004)",0.32,4.214,21.927,0.188,174,0.0,rank_15_index_6
16,19211,-32.56749664475009,-33.596484006276455,-66.16398065102655,"(-32.857533, 8.88507, 15.78852, -0.70716834, 0.32715392, 0.25273892, -0.57359076)",0.24,5.906,13.747,0.192,49,0.0,rank_16_index_9
17,2533,8.743933543337135,-21.5178366999001,-12.773903156562966,"(-37.902786, 6.490723, 15.899249, 0.71762514, 0.20713103, -0.6445741, -0.16320267)",0.32,5.46,10.744,0.258,63,0.09836065573770492,rank_17_index_8
