,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,17510,0.8479145232110774,-9.186681517670795,-8.338766994459718,"(-24.160728, -8.685892, 19.820782, 0.19289121, 0.5036799, -0.5940948, -0.5967839)",0.043,10.978,29.266,0.047,208,0.0,rank_1_index_3
2,6880,11.1189012759257,-7.498831328488251,3.62006994743745,"(-34.50784, -6.9423976, 14.776702, -0.42401627, -0.11094102, 0.6298467, -0.64124525)",0.0,8.899,29.063,0.035,177,0.0,rank_2_index_619
3,17492,7.852224518848839,-11.304480857457923,-3.452256338609086,"(-30.9118, 6.787858, 6.5944877, -0.072847, 0.38091254, -0.9215264, -0.019702524)",0.0,13.851,41.012,0.018,10,0.0,rank_3_index_7
4,13633,4.777045129901178,-11.449504550213714,-6.672459420312536,"(-32.177715, -3.472428, 8.392489, -0.13781545, -0.19364445, 0.4348437, -0.86857337)",0.043,8.678,25.862,0.057,137,0.0,rank_4_index_3
5,9247,-22.583651337501447,-30.53267223774049,-53.116323575241935,"(-27.885927, -0.25655562, 21.932943, -0.23085068, -0.19436148, 0.3831118, 0.87301606)",0.087,7.4,31.387,0.065,176,0.0,rank_5_index_2
6,19046,0.4694351113560762,-6.635165110761441,-6.1657299994053645,"(-32.229736, -6.286749, 2.9498672, 0.2552884, 0.21296094, -0.7819959, 0.5272172)",0.0,9.389,30.125,0.033,116,0.0,rank_6_index_6
7,8796,-3.575413049466663,-12.073522867276823,-15.648935916743486,"(-23.486229, -13.671564, 21.485245, 0.36873212, 0.5427016, -0.4700361, -0.5904047)",0.043,10.65,26.406,0.052,738,0.0,rank_7_index_7
8,4274,-5.215833995870295,-30.029270224526265,-35.24510422039656,"(-32.43517, -3.5161533, 14.621373, 0.5880958, 0.1291273, -0.6166198, 0.5071978)",0.043,9.409,31.367,0.046,265,0.0,rank_8_index_1
9,21733,-1.3747665905018618,-16.147758410763178,-17.522525001265038,"(-31.575037, -0.79733956, 16.320932, 0.042257443, 0.115526594, -0.41357934, -0.9021198)",0.0,7.724,31.739,0.034,221,0.0,rank_9_index_8
10,7851,9.129220496405,-12.981832924818448,-3.852612428413448,"(-34.07827, -8.982983, 9.111952, 0.20542356, 0.1282283, -0.85865104, 0.45174903)",0.0,10.723,29.616,0.032,130,0.0,rank_10_index_5
11,20411,9.695850417635311,-6.693563341212558,3.0022870764227534,"(-33.7083, -3.2809997, 1.8980862, 0.030088961, 0.3211675, -0.690737, 0.6471696)",0.043,11.098,31.016,0.044,66,0.0,rank_11_index_7
12,17541,10.39080599995545,-7.525999606002487,2.8648063939529638,"(-33.505554, -2.0729685, 4.7253056, 0.056877226, 0.017245008, -0.5960936, 0.80071217)",0.043,9.179,28.511,0.05,390,0.0,rank_12_index_1
13,4402,10.384880874761985,-7.584727132836499,2.800153741925484,"(-25.455156, -2.3607647, 27.15987, -0.6062597, -0.40667784, 0.67110264, -0.12916519)",0.0,14.036,35.127,0.022,-1,0.0029940119760479044,rank_13_index_4
14,811,10.286480329576005,-7.038221160440532,3.2482591691354727,"(-6.752895, -2.4413385, 35.048798, 0.8218773, 0.52112293, 0.20400101, 0.10645292)",0.0,13.753,36.815,0.021,1456,0.0,rank_14_index_8
15,9064,2.52552485328383,-11.311553414492192,-8.786028561208362,"(-20.133596, 0.042167664, 27.027819, -0.4509187, -0.1793052, 0.663507, 0.56945634)",0.087,10.464,35.092,0.054,249,0.0,rank_15_index_816
16,4000,9.15728493786822,-8.93905170005774,0.2182332378104785,"(-34.605373, -4.0910444, 10.350846, -0.16955121, -0.59071463, 0.6994895, -0.36472347)",0.043,12.988,33.119,0.039,204,0.0,rank_16_index_7
17,18649,10.26000624157085,-8.398369433326664,1.8616368082441848,"(-25.973541, -7.2218585, 24.148863, 0.3356974, 0.45910773, -0.7016166, -0.42925695)",0.0,12.628,32.797,0.026,338,0.0,rank_17_index_1680
18,6621,8.849536584733258,-7.669799231402259,1.1797373533309985,"(-33.917797, 10.062865, 7.286722, -0.050510023, -0.08092979, 0.9631565, 0.25145316)",0.0,13.622,44.52,0.016,15,0.0,rank_18_index_6
19,15375,-1.0775738954213026,-19.889515249308616,-20.96708914472992,"(-23.5719, 4.437198, 26.375494, -0.25068867, -0.18854047, 0.7779175, 0.5444741)",0.0,11.537,39.067,0.021,305,0.0,rank_19_index_4
20,18159,-7.46086298569986,-4.968296433291251,-12.429159418991112,"(-25.273823, -12.483075, 24.058722, 0.53045505, 0.7568992, -0.16945292, -0.34206277)",0.0,12.238,26.6,0.036,486,0.0,rank_20_index_7
