,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
1,3914,-26.03670920395608,-20.45178212604552,-46.4884913300016,"(-35.394634, 7.5617943, 10.77977, -0.1659175, 0.7486334, 0.044667594, -0.6403314)",0.4,9.282,31.211,0.165,32,0.0,rank_1_index_4
2,4855,-15.87129003637066,-39.654095381856834,-55.52538541822749,"(-35.78631, -2.7136936, 16.594381, 0.03686092, 0.48391536, 0.27169102, -0.8310543)",0.4,10.068,43.495,0.153,11,0.0,rank_2_index_6
3,14679,-23.259513919781085,-35.41927975368168,-58.67879367346276,"(-38.926453, 4.2836447, 16.76948, -0.20038489, 0.41179535, 0.20240282, -0.86562324)",0.4,10.513,41.312,0.154,323,0.0,rank_3_index_6
4,17509,-23.73242907179481,-51.30353920517048,-75.03596827696529,"(-32.76509, 23.150524, 11.632326, 0.65819514, -0.55165815, -0.0190632, 0.5119464)",0.3,8.978,22.394,0.151,197,0.0,rank_4_index_8
5,19565,8.238712000353011,-13.319923579107083,-5.081211578754072,"(-35.819218, 0.12930763, 22.887753, -0.0586231, 0.41023743, 0.14483823, -0.89849347)",0.4,9.975,38.954,0.156,264,0.0,rank_5_index_6
6,11426,-1.943650905670701,-18.92446127222022,-20.86811217789092,"(-27.756107, 6.068349, 28.866184, 0.90643597, 0.027352953, -0.3859306, 0.16936143)",0.8,4.738,19.478,0.35,214,0.6410256410256411,rank_6_index_3
7,14700,4.991989460568396,-17.492323599090057,-12.50033413852166,"(-27.478483, -0.41591686, 27.37235, 0.90300715, 0.24341217, -0.3208789, -0.14955096)",1.0,2.319,5.857,0.658,186,0.7906976744186046,rank_7_index_5
8,11183,9.474381559227629,-12.202635754156844,-2.728254194929216,"(-27.027662, -6.185832, 24.95501, -0.6652415, -0.4669652, 0.11731376, 0.5706443)",0.8,3.946,18.28,0.368,426,0.6785714285714286,rank_8_index_5
9,17883,-1.9565755397923803,-12.702667350898958,-14.659242890691338,"(-33.39223, -2.107916, 21.050995, -0.29629487, 0.44977617, 0.37150288, -0.75623834)",0.2,11.252,41.191,0.086,236,0.0,rank_9_index_4
10,13574,6.678955904529898,-14.065076467147184,-7.386120562617286,"(-30.144402, 1.7585315, 25.903818, 0.88578176, 0.21576738, -0.3793829, -0.1578094)",0.9,2.52,7.675,0.571,183,0.8541666666666666,rank_10_index_2
11,173,-10.83339307163491,-11.394258570012465,-22.227651641647377,"(-36.711132, -0.5332412, 6.5758963, 0.20967144, 0.7840275, -0.14401759, -0.56621355)",0.4,6.325,22.613,0.192,14,0.0,rank_11_index_5
12,20139,8.33729769824,-15.092653254903675,-6.755355556663677,"(-34.976124, 6.9256883, 23.294525, 0.77689254, 0.034128882, -0.6274061, 0.040433373)",0.9,4.426,29.895,0.359,20,0.05714285714285714,rank_12_index_5
13,8009,8.7075917486705,-9.610590028419566,-0.902998279749065,"(-21.903387, 6.2896466, 32.825466, 0.9653825, 0.055585615, -0.21962093, -0.12928076)",1.0,2.819,10.766,0.535,310,0.96875,rank_13_index_722
14,8203,8.145473986027962,-13.63056342948413,-5.485089443456168,"(-30.595192, -2.3433843, 29.560911, 0.85524607, 0.20498733, -0.4506666, 0.15308173)",0.5,3.742,21.66,0.257,268,0.14285714285714285,rank_14_index_3
15,21660,8.434577210587216,-8.874995351253574,-0.4404181406663578,"(-38.61349, 8.378622, 19.277554, 0.69054466, 0.16097328, -0.65171254, -0.2692704)",0.7,3.184,24.305,0.33,45,0.47368421052631576,rank_15_index_1952
16,20119,5.304915700351712,-9.390494949088373,-4.085579248736661,"(-32.891438, -1.3232177, 24.13521, -0.39539346, -0.4021905, 0.07034555, 0.82277477)",0.8,6.799,31.653,0.305,414,0.08771929824561403,rank_16_index_7
17,10748,4.821198579385705,-10.352579216244676,-5.531380636858971,"(-36.560364, 7.340263, 16.381264, -0.7440295, 0.11163594, 0.5907981, -0.2914021)",0.3,6.68,31.06,0.139,22,0.0,rank_17_index_4
18,11961,8.02425891946201,-18.654663246651957,-10.630404327189945,"(-40.28909, 13.328027, 8.880581, -0.4606874, 0.6372927, 0.0005855858, -0.61775804)",0.0,9.855,23.793,0.045,224,0.0,rank_18_index_6
19,9310,7.762732087734116,-10.79737719102491,-3.034645103290795,"(-21.385244, 7.3138475, 31.162497, 0.9810333, 0.0020277414, -0.18911162, -0.042500965)",0.9,3.812,12.036,0.456,210,0.6590909090909091,rank_19_index_0
20,14601,2.3745814305246737,-12.494048824678458,-10.119467394153784,"(-32.573082, -2.6872313, 20.895754, 0.20636237, 0.49297833, 0.09499303, -0.8398591)",0.5,8.345,35.774,0.195,275,0.0,rank_20_index_6
21,3129,7.95121742761965,-16.464347091761177,-8.513129664141527,"(-32.282158, -5.61558, 24.988554, 0.2697783, 0.40172127, 0.16374134, -0.85966766)",0.6,8.266,40.845,0.224,205,0.0,rank_21_index_7
22,9450,9.420584990591426,-10.861402026891106,-1.4408170362996806,"(-36.155334, 5.1777763, 21.815987, 0.7923215, 0.2031716, -0.5577585, -0.14090192)",0.5,2.82,16.531,0.31,81,0.2777777777777778,rank_22_index_7
23,15558,-40.18730202729608,-70.1867259860013,-110.3740280132974,"(-27.337292, 0.3383873, 26.998556, 0.7503347, 0.1124463, -0.33353144, 0.55956286)",0.4,7.181,32.66,0.168,333,0.0,rank_23_index_9
24,348,-4.807607205632344,-21.56854567177666,-26.376152877409005,"(-34.125248, 0.89360654, 20.218168, 0.24459746, -0.46219668, -0.2538565, 0.8136972)",0.3,10.868,38.064,0.122,359,0.0,rank_24_index_4
25,18085,6.596829219450487,-11.960585372072613,-5.363756152622124,"(-38.148598, 0.4190147, 14.581364, 0.58481133, 0.503847, -0.4996171, -0.393086)",0.6,2.917,9.597,0.416,80,0.7272727272727273,rank_25_index_6
26,1893,-16.884751934627037,-25.24067939256058,-42.12543132718761,"(-31.14984, 1.755745, 23.53788, 0.81915885, 0.17413162, -0.5263582, 0.14698343)",0.8,4.524,23.925,0.337,110,0.23076923076923078,rank_26_index_4
27,14384,-4.942255606146503,-14.710176924438224,-19.65243253058473,"(-36.453915, 8.399853, 15.028378, -0.38437924, 0.53750134, 0.17343262, -0.7302507)",0.2,10.339,32.467,0.095,176,0.0,rank_27_index_1
28,10965,9.386633087364505,-10.379530001973045,-0.99289691460854,"(-34.168602, 9.7296295, 25.15379, 0.8169571, 0.07613114, -0.55375844, -0.14190413)",0.6,3.089,21.017,0.31,262,0.2,rank_28_index_8
29,8174,3.6900444489403936,-13.08112946860908,-9.391085019668688,"(-35.812485, 14.350857, 17.640291, 0.55026126, -0.513349, -0.06807782, 0.65501976)",0.2,9.86,26.229,0.106,339,0.0,rank_29_index_9
30,3006,7.3617700438441585,-10.30096041954496,-2.9391903757008,"(-31.492035, 0.071983516, 25.438217, -0.6451825, -0.31474748, 0.2692646, 0.6420049)",0.9,4.435,21.938,0.378,344,0.7894736842105263,rank_30_index_6
31,19132,0.8481528613199671,-35.56915337394084,-34.72100051262088,"(-29.396595, 4.198853, 30.208986, 0.43316436, -0.110596105, -0.13390677, 0.8844242)",0.2,10.469,39.893,0.088,227,0.0,rank_31_index_8
32,17810,7.89767841071316,-11.120886116209023,-3.223207705495863,"(-31.995916, -6.8048644, 21.42296, 0.7652141, 0.47952282, -0.37512988, -0.20924358)",0.6,1.24,5.767,0.626,185,0.8571428571428571,rank_32_index_8
