index,rank_tcp,protac_ind,dockq,fnat,irms,lrms,energy,num_clusters_fcc,fcc_label,cluster_size,refin_tcp,percent_near_native,best_cluster_dockq
104,11,5,0.05,0.02,12.2,25.05,-825.82,56,1,79,7,0.0,0.05
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
452,46,3,0.12,0.15,5.33,21.71,-729.54,56,2,45,2,0.0,0.12
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
156,16,7,0.06,0.02,11.75,22.03,-786.85,56,3,45,7,0.0,0.06
