index,rank_tcp,protac_ind,dockq,fnat,irms,lrms,energy,num_clusters_fcc,fcc_label,cluster_size,refin_tcp,percent_near_native,best_cluster_dockq
568,57,9,0.08,0.0,8.55,16.92,-217.77,57,1,92,1509,0.0,0.08
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
313,32,4,0.06,0.0,7.37,20.94,-197.81,57,2,51,10,0.0,0.06
