index,rank_tcp,protac_ind,dockq,fnat,irms,lrms,energy,num_clusters_fcc,fcc_label,cluster_size,refin_tcp,percent_near_native,best_cluster_dockq
87,9,8,0.36,0.22,2.65,6.85,-142.3,46,1,87,7,0.022988505747126436,0.36
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
885,91,5,0.23,0.11,4.3,9.3,-94.62,46,2,74,1,0.013513513513513514,0.23
