index,rank_tcp,protac_ind,dockq,fnat,irms,lrms,energy,num_clusters_fcc,fcc_label,cluster_size,refin_tcp,percent_near_native,best_cluster_dockq
148,15,9,0.06,0.0,11.57,19.77,-160.04,58,1,92,6,0.0,0.06
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
10,2,1,0.07,0.0,9.22,18.31,-299.8,58,2,82,595,0.0,0.07
