index,rank_tcp,protac_ind,dockq,fnat,irms,lrms,energy,num_clusters_fcc,fcc_label,cluster_size,refin_tcp,percent_near_native,best_cluster_dockq
612,62,3,0.04,0.0,12.54,25.12,-868.57,52,1,101,7,0.0,0.04
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
942,95,3,0.06,0.06,10.93,27.15,-928.16,52,2,69,1113,0.0,0.06
