index,rank_tcp,protac_ind,dockq,fnat,irms,lrms,energy,num_clusters_fcc,fcc_label,cluster_size,refin_tcp,percent_near_native,best_cluster_dockq
338,34,9,0.13,0.0,5.11,12.61,-853.22,50,1,134,3,0.0,0.13
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
212,22,3,0.09,0.0,7.42,16.19,-777.4,50,2,92,6,0.0,0.09
