index,rank_tcp,protac_ind,dockq,fnat,irms,lrms,energy,num_clusters_fcc,fcc_label,cluster_size,refin_tcp,percent_near_native,best_cluster_dockq
666,67,7,0.06,0.0,7.93,20.48,-930.96,45,1,265,1580,0.0,0.06
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
735,74,6,0.21,0.17,5.09,11.04,-972.9,45,2,68,1,0.0,0.21
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
770,78,1,0.07,0.04,8.7,22.39,-946.08,45,3,50,3,0.0,0.07
