index,rank_tcp,protac_ind,dockq,fnat,irms,lrms,energy,num_clusters_fcc,fcc_label,cluster_size,refin_tcp,percent_near_native,best_cluster_dockq
311,34,2,0.69,0.5,1.0,3.27,-584.53,35,1,212,7,0.5283018867924528,0.69
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
781,82,2,0.84,0.9,0.99,2.37,-593.91,35,2,105,1528,0.8857142857142857,0.84
